"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName","Description","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
0,"NoArchetype","","","","","","",0,0,0,"","",1,"","",""
1,"StrArchetypeA",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEBABQgFHEoKj38UEdYY18_dqx7jIIHhVKLT5d5m2qtjcRYxtjPftlh2XzkUeoY7w72SPjr","Juggernaut","Not even the freezing depths of winter can slow you down. The blood of your foes will flow as freely as you","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Juggernaut","http://down.qq.com/poe/videos/archetype/Juggernaut.BK2",2,307,35,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
2,"StrArchetypeB",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEDAAYOCfYQzBQgGS4n7T38UEdYY18_Z5t7IK2Nrj7EWMauxtjPftSP2WHkUe8O9kj4k_6H","Chieftain","The Karui gods have blessed you with fire. Summon the aid of your ancestors, and set the battlefield aflame.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Chieftain","http://down.qq.com/poe/videos/archetype/Chieftain.BK2",3,573,142,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
3,"StrArchetypeC",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAECAAmWFCAUcTkOPfxQR1hjXz92rIIHhVKMz5d5rY3G2M9-2WHZfORR6hjrCe8O8kH2SPjr","Berserker","The more you hurt, the more you hurt! Let rage fuel each swing of your weapon.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/Berserker","http://down.qq.com/poe/videos/archetype/Berserker.BK2",1,64,150,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Str/MarauderBG","",1,"","",""
4,"IntArchetypeA",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAALjBAcHpQj0EFgRDx8CLJwyNDpYSbJVxmpDdhF-r4IQg9uNGayYvOrZX92M37DgEuTs","Elementalist","Shock your enemies into submission, or set them alight, or even freeze them in place. The power of the elements is at your fingertips!","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Elementalist","http://down.qq.com/poe/videos/archetype/Elementalist.BK2",2,216,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
5,"IntArchetypeB",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAAQHCPQsnDpYPV9Eq0yzUlNVrlXGZ_xqQ20ZghCD24-ml5WX9KyYrUq7Tbzq3V_fsPfX","Occultist","Drain your enemy's life force with Chaos damage, or weaken them with debilitating curses. A master of the Dark Arts.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Occulist","http://down.qq.com/poe/videos/archetype/Occultist.BK2",3,622,45,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
6,"IntArchetypeC",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMBAAQHCPQlsjpYTLNNuVXGYoZqG2pDa9ttGX0Yg9uFYJuhnr2qxKyYzLzfiukC7Ir31_6z","Necromancer","Raise zombies from the bodies of your defeated foes, or use their remains to empower your army.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/Necromancer","http://down.qq.com/poe/videos/archetype/Necromancer.BK2",1,0,69,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Int/WitchBG","",1,"","",""
7,"DexArchetypeA",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIBAABeA4cILgxzGY4j9jB8MbBNklFHa5B9dY19jb-VZpuNo4qxs8v1037UI9RS3L3nD-2D_ro=","Raider","Speed and damage are your two allies as you enter battle, annihilate your foes, and escape before they have a chance to respond","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Raider","http://down.qq.com/poe/videos/archetype/Raider.BK2",1,28,0.5,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
8,"DexArchetypeB",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIDAAHRBLEGIwiJGf4bASP2JyEwfE2SUUddaHsUjX2VBZXImvGjiqfUr-vEosqp-WP-Cf7I","Pathfinder","Supplement your skills with potent potables. Never be without a full flask!","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Pathfinder","http://down.qq.com/poe/videos/archetype/Pathfinder.BK2",2,240,35,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
9,"DexArchetypeC",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIDAAHRBLEGIwiJGf4bASP2MHxNklFHXWh7FI19lQWa8aEiokCjiqfUr-u748Siyqn0-Plj_rr-yA==","Deadeye","Stand back lure your enemies wander into deluge of whistling arrows. If they can't reach you, they can't beat you.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/Deadeye","http://down.qq.com/poe/videos/archetype/Deadeye.BK2",3,617,21,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Dex/RangerBG","",1,"","",""
10,"StrIntArchetypeA",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUBAAGkBLMR2Bo4JE4nLzD4M2w62DwFWfNo8nGFcg-Cm4uMkFWf36EjogCu_8Bm2rnvfPAf-d0=","Inquisitor","Whether by spell or by weapon, punish heretics with the full might of the elements!","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Inquisitor","http://down.qq.com/poe/videos/archetype/Inquisitor.BK2",1,0,47,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
11,"StrIntArchetypeB",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUCAASzGjgnLzD4MtE62EVHaPKCm4SDhTKLjJBVogCu_8Bm1abmfevu7yHwH_nd","Hierophant","Protect your thoughts with masses of mana, and call forth the power of the Ancestors with an army of Totems.","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Hierophant","http://down.qq.com/poe/videos/archetype/Hierophant.BK2",2,133,11,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
12,"StrIntArchetypeC",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUDAASzFm8XLxpsJKopTzbpQ2NDyE8EUw5V1mTnaPJxTXxLgKSCm5Z0ms-iANWm42rkIuRV8B_60g==","Guardian","Lend aid to your allies through a multitude of powerful auras, but beware: a lonely Guardian is a dead Guardian.","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Guardian","http://down.qq.com/poe/videos/archetype/Guardian.BK2",3,525,8,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
13,"StrDexArchetypeA",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQBAAUtB3UhVUCgR35eE185YVJlTXTteu-E2YTvh2qQbJstqSeplLCrvTa-p8Cm2sHcPd3j70705g==","Slayer","Crush your foes with the might of two-handed weapons. The best defense is a good offense!","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Slayer","http://down.qq.com/poe/videos/archetype/Slayer.BK2",2,211,53,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
