"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6913],"",[],[],[]
1,"DropVaalItem",[6920],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4989,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1227],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4988,659]","[1,100]"
6,"TormentedExperimenterPossess","[8758,8849,8934,8936]","",[],[],[]
7,"TormentedBlasphemerPossess","[8761,8847,8934,8936]","",[],[],[]
8,"TormentedNecromancerPossess","[8764,8849,8934,8936]","",[],[],[]
9,"TormentedArsonistPossess","[8767,8849,8934,8936]","",[],[],[]
10,"TormentedThiefPossess","[8796,8850,8934,8936]","",[],[],[]
11,"TormentedMutilatorPossess","[8809,8849,8934,8936]","",[],[],[]
12,"TormentedCharlatanPossess","[8777,8849,8934,8936]","",[],[],[]
13,"TormentedCannibalPossess","[8802,8849,8934,8936]","",[],[],[]
14,"TormentedPoisonerPossess","[8770,8849,8934,8936]","",[],[],[]
15,"TormentedCorrupterPossess","[8773,8850,8934,8936]","",[],[],[]
16,"TormentedThugPossess","[8780,8847,8934,8936]","",[],[],[]
17,"TormentedRoguePossess","[8783,8847,8784,8934,8936]","",[],[],[]
18,"TormentedFishermanPossess","[8786,8850,8934,8936]","",[],[],[]
19,"TormentedLibrarianPossess","[8789,8850,8934,8936]","",[],[],[]
20,"TormentedCutthroatPossess","[8793,8847,8934,8936]","",[],[],[]
21,"TormentedSpyPossess","[8799,8847,8934,8936]","",[],[],[]
22,"TormentedMartyrPossess","[8806,8849,8934,8936]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8812,8850,8934,8936]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8818,8849,8934,8936]","",[],[],[]
25,"TormentedWarlordPossess","[8821,8847,8934,8936]","",[],[],[]
26,"TormentedFreezerPossess","[8825,8849,8934,8936]","",[],[],[]
27,"TormentedSmugglerPossess","[8829,8827,8850,8934,8936]","",[],[],[]
