"rownum","rid","[rid]"
0,326,"[1446,1447,1448,1449]"
1,327,"[1450,1451,1452]"
2,328,"[1453,1454,1455,1456]"
3,329,"[1457,1458,1459]"
4,330,"[1460,1461,1462]"
5,331,"[1463,1464]"
6,332,"[1465,1466]"
7,333,"[1467,1468]"
8,334,[1469]
9,335,[1470]
10,336,"[1471,1472]"
11,337,"[1473,1474]"
12,338,"[1475,1476,1477]"
13,339,"[1478,1479,1480]"
14,340,"[1481,1482]"
15,341,"[1483,1484]"
16,342,"[1485,1486]"
17,343,[1487]
18,344,"[1488,1489,1490,1491]"
19,345,"[1492,1493]"
20,346,"[1494,1495,1496]"
21,349,"[129,130,131,132,133,134,140,141,142,143,144,165,166,178,179,180,181,318,385,386,308,309,310,311,322,324,326,327,328,343,344,345]"
