"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string"
0,"ChargeEndurance",2,[],[],"orb_finish","","orb_appear","orb_idle"
1,"ChargeFrenzy",4,[],[],"orb_finish","","orb_appear","orb_idle"
2,"ChargePower",3,[],[],"orb_finish","","orb_appear","orb_idle"
3,"ChargeEnduranceElder",1774,[],[],"orb_finish","","orb_appear","orb_idle"
4,"ChargeFrenzyElder",1775,[],[],"orb_finish","","orb_appear","orb_idle"
5,"ChargePowerElder",1773,[],[],"orb_finish","","orb_appear","orb_idle"
6,"ChargePowerAlternate",672,[],[],"orb_finish","","orb_appear","orb_idle"
7,"ChargeFrenzyBloodDance",4117,[],[],"orb_finish","","orb_appear","orb_idle"
8,"ChargeFrenzySuper",850,[],[],"orb_finish","","",""
9,"ChargeSpirit",1677,[],[],"orb_finish","","",""
10,"ChargeSiphoning",1815,[],[],"orb_finish","","",""
11,"ChargeVoid",1818,[],[],"orb_finish","","",""
12,"ChargeDivine",2881,[],[],"orb_finish","","",""
13,"ChargeInspiration",3459,[],[],"orb_finish","","",""
14,"ChargeBrutal",5067,[],[],"orb_finish","","",""
15,"ChargeAffliction",5068,[],[],"orb_finish","","",""
16,"ChargeAbsorption",5069,[],[],"orb_finish","","",""
17,"BloodlinesChargeZeal",473,[],[],"orb_finish","","",""
18,"BloodlinesChargeVigor",474,[],[],"orb_finish","","",""
19,"CurseTemporalChains",34,[],[],"orb_finish","","",""
20,"CurseTemporalChainsNew",4530,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
21,"IzaroTemporalChains",847,[],[],"orb_finish","","",""
22,"IzaroDeathTemporalChains",870,[],[],"orb_finish","","",""
23,"CurseEnfeeble",41,[],[],"orb_finish","","",""
24,"CurseVulnerability",44,[],[],"orb_finish","","",""
25,"IzaroVulnerabilityOrb",849,[],[],"orb_finish","","",""
26,"IzaroDeathVulnerabilityOrb",872,[],[],"orb_finish","","",""
27,"CurseElementalWeakness",35,[],[],"orb_finish","","",""
28,"IzaroElementalWeaknessOrb",848,[],[],"orb_finish","","",""
29,"IzaroDeathElementalWeaknessOrb",871,[],[],"orb_finish","","",""
30,"CurseFireWeakness",36,[],[],"orb_finish","","",""
31,"CurseColdWeakness",37,[],[],"orb_finish","","",""
32,"CurseLightningWeakness",38,[],[],"orb_finish","","",""
33,"CurseChaosWeakness",1762,[],[],"orb_finish","","",""
34,"CursePunishment",40,[],[],"orb_finish","","",""
35,"CurseSilence",270,[100],"[""orb_idle""]","orb_finish","hexproof","",""
36,"CurseWarlordsMark",39,[],[],"orb_finish","","",""
37,"CurseAssassinsMark",42,[],[],"orb_finish","","",""
38,"CurseSnipersMark",43,[],[],"orb_finish","","",""
39,"CursePoachersMark",45,[],[],"orb_finish","","",""
40,"CurseAlchemistsMark",46,[],[],"orb_finish","","",""
41,"FlaskCurseImmunity",149,[],[],"orb_finish","","",""
42,"DoedreRedOrb",1401,[],[],"orb_finish","","",""
43,"DoedreGreenOrb",1400,[],[],"orb_finish","","",""
44,"DoedrePurpleOrb",1399,[],[],"orb_finish","","",""
45,"ShrinePlus",252,[],[],"orb_finish","","",""
46,"ShrineFist",251,[],[],"orb_finish","","",""
47,"ShrineSword",254,[],[],"orb_finish","","",""
48,"ShrineWing",250,[],[],"orb_finish","","",""
49,"ShrineThorns",308,[],[],"orb_finish","","",""
50,"ShrineFire",255,[],[],"orb_finish","","",""
51,"ShrineLightning",257,[],[],"orb_finish","","",""
52,"ShrineArc",259,[],[],"orb_finish","","",""
53,"ShrineCold",256,[],[],"orb_finish","","",""
54,"ShrineSmoke",309,[],[],"orb_finish","","",""
55,"ShrineMassive",318,[],[],"orb_finish","","",""
56,"ShrineShield",253,[],[],"orb_finish","","",""
57,"ShrineResistance",306,[],[],"orb_finish","","",""
58,"ShrineGodMode",320,[],[],"orb_finish","","",""
59,"ShrineEchoing",319,[],[],"orb_finish","","",""
60,"ShrineCurse",307,[],[],"orb_finish","","",""
61,"ShrineSkeletons",258,[],[],"orb_finish","","",""
62,"ShrineResonating",2988,[],[],"orb_finish","","",""
63,"Blind",120,[],[],"orb_finish","","",""
64,"BlindOrbSand",3032,[],[],"orb_finish","","",""
65,"CorruptedBloodNonPlayer",3497,[],[],"orb_finish","","",""
66,"CorruptedBloodHeritageNonPlayer",6421,[],[],"orb_finish","","",""
67,"CorruptedBloodPlayer",3498,[],[],"orb_finish","","",""
68,"CorruptedBloodHeritagePlayer",6422,[],[],"orb_finish","","",""
69,"Stun",418,[],[],"orb_finish","","",""
70,"Debilitate",4371,[],[],"","","",""
71,"DebilitateCelestial",4436,[],[],"","","",""
72,"Maleditction",4372,[],[],"","","",""
73,"TormentTouched",478,[],[],"orb_finish","","",""
74,"PietysRage",577,[],[],"orb_finish","","",""
75,"Bonespire",792,[],[],"orb_finish","","",""
76,"AtlasAdjudicatorCharges",3735,[],[],"orb_finish","","",""
77,"SeaWitchScreechOrb",330,[],[],"orb_finish","","",""
78,"RighteousFireOrb",103,[],[],"orb_finish","","",""
79,"ViperStrikeOrb",27,[],[],"orb_finish","","",""
80,"Deathmark",3460,[],[],"","","",""
81,"WintertideBrandOrb",4194,[],[],"orb_finish","","",""
82,"HackyInvisibleSymbol",2233,[],[],"","","",""
83,"CurseEnfeebleNew",4599,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
84,"CursePunishmentNew",4600,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
85,"CurseFlammabilityNew",4601,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
86,"CurseFrostbiteNew",4602,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
87,"CurseConductivityNew",4603,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
88,"CurseElementalWeaknessNew",4604,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
89,"CurseVulnerabilityNew",4605,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
90,"CurseDespairNew",4606,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","",""
91,"SteelOrb",4717,[],[],"end_01","","",""
92,"HeistConversionOrb",4771,[],[],"","","",""
93,"SteelOrbTemple",4808,[],[],"end_01","","",""
94,"FanatacismCharge",4996,[],[],"orb_finish","","",""
95,"BloodScytheCharge",5275,[],[],"orb_finish","","",""
96,"UltimatumFrostInfection",5303,[],[],"end_float_01","","",""
97,"UltimatumPhysBuff",5351,[],[],"orb_finish","","",""
98,"UltimatumEleBuff",5352,[],[],"orb_finish","","",""
99,"WintertideBrandCelestialOrb",5808,[],[],"","","",""
100,"SkadiDebuff",6124,[],[],"","","",""
101,"ShrineGreed",6259,[],[],"orb_finish","","",""
102,"TangleTentacleZapped",6286,[],[],"orb_finish","","",""
103,"CleansingFirePhantasmPossessionOrb",6316,[],[],"ring_finish","","",""
104,"ChargePowerCrystalStygian",6425,[],[],"orb_finish","","orb_appear","orb_idle"
105,"ChargeEnduranceCrystalStygian",6426,[],[],"orb_finish","","orb_appear","orb_idle"
106,"ChargeFrenzyCrystalStygian",6427,[],[],"orb_finish","","orb_appear","orb_idle"
107,"ChargeEnduranceCrystalDemonic",6459,[],[],"orb_finish","","orb_appear","orb_idle"
108,"ChargePowerCrystalDemonic",6460,[],[],"orb_finish","","orb_appear","orb_idle"
109,"ChargeFrenzyCrystalDemonic",6461,[],[],"orb_finish","","orb_appear","orb_idle"
110,"ChargeEnduranceCrystalGhostflame",6462,[],[],"orb_finish","","orb_appear","orb_idle"
