"rownum","rid","string"
0,11,"Orbs of Alteration"
1,7,"Orbs of Chance"
2,17,"Glassblower's Baubles"
3,19,"Chromatic Orbs"
4,21,"Jeweller's Orbs"
5,6,"Orbs of Alchemy"
6,20,"Orbs of Fusing"
7,12,"Orbs of Scouring"
8,25,"Cartographer's Chisels"
9,2,"Chaos Orbs"
10,204,"Orbs of Binding"
11,8,"Orbs of Regret"
12,18,"Gemcutter's Prisms"
13,23,"Blessed Orbs"
14,33,"Vaal Orbs"
15,205,"Orbs of Horizon"
16,9636,"Instilling Orbs"
17,14,"Regal Orbs"
18,9635,"Enkindling Orbs"
19,9,"Orbs of Unmaking"
20,181,"Awakened Sextants"
21,8704,"Stacked Decks"
22,3,"Veiled Chaos Orbs"
23,203,"Orbs of Annulment"
24,22,"Divine Orbs"
25,13,"Exalted Orbs"
26,7156,"Divine Vessels"
27,24,"Sacred Orbs"
28,5,"Mirrors of Kalandra"
29,0,"Blacksmith's Whetstones"
30,4,"Armourer's Scraps"
31,10,"Orbs of Transmutation"
32,15,"Orbs of Augmentation"
