"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","CanRollEnchant","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys","bool","bool","[i32]","[i32]"
0,242,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","","",[200],[0]
1,243,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","","",[200],[0]
2,244,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","","",[200],[0]
3,245,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","","",[200],[0]
4,246,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","","",[200],[0]
5,247,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","","",[200],[0]
6,248,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","","",[200],[0]
7,249,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0]
8,250,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","","",[150],"[0,0]"
9,251,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15]
10,252,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"","",[200],[15]
11,253,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","","",[200],[0]
12,254,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","","",[200],[0]
13,255,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,640]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[]
14,256,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"","",[],[]
15,257,[],[634],[0],[],[],[],"",0,"","","",[],"",[625],[1000],"[39,42]","[41,61]","","",[200],[0]
16,258,[],[625],[0],[],[],[],"",0,"","","",[],"",[634],[1000],"[41,40]","[39,56]","","",[200],[0]
17,259,"[16150,16151,16152]",[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"","",[200],[]
18,260,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,"",[],[]
19,261,[],[],[],[16153],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"","",[],[]
20,262,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"","",[],[]
21,263,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"","",[],[]
22,264,"[16150,16151,16152,16154,16155,16156,16158,16159,16160,16157,16153]",[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1,[],[]
23,265,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"","",[],[]
24,266,[],[],[],[],[],[],"",0,"","","","[15797,15798,15799,15800,15801,15802,15803,15804,15805]","",[],[],[0],[],"","",[],[]
25,9668,[],[633],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","","",[1000],[0]
26,9669,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","","",[1000],[0]
27,9670,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","","",[1000],[0]
28,9671,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","","",[1000],[0]
29,9672,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","","",[1000],[0]
30,9673,[],[316],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,32]","[49,17]","","",[1000],[0]
31,9674,[],[27],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,66]","[50,75]","","",[1000],[0]
32,9675,[],[309],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,28]","[51,11]","","",[1000],[0]
33,9676,[],[318],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,34]","[52,15]","","",[1000],[0]
34,9677,[],[317],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,33]","[53,18]","","",[1000],[0]
35,9678,[],[632],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,67]","[54,76]","","",[1000],[0]
36,9679,[],[640],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,68]","[55,77]","","",[1000],[0]
37,9680,[],[625],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,40]","[56,39]","","",[1000],[0]
38,9681,[],[310],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,29]","[57,12]","","",[1000],[0]
39,9682,[],[312],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,31]","[58,14]","","",[1000],[0]
40,9683,[],[34],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,69]","[59,19,25]","","",[1000],[0]
41,9684,[],[321],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,70]","[60,78]","","",[1000],[0]
42,9685,[],[634],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,42]","[61,41]","","",[1000],[0]
43,9686,[],[319],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,71]","[62,20,26]","","",[1000],[0]
44,9687,[],[636],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,72]","[63,79,16]","","",[1000],[0]
45,9688,[],[324],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,37]","[43,22]","","",[1000],[0]
46,9689,[],[313],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,27]","[45,10]","","",[1000],[0]
47,9690,[],[320],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,65]","[46,74]","","",[1000],[0]
48,9691,[],[323],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,36]","[47,21]","","",[1000],[0]
49,9692,[],[311],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,30]","[48,13]","","",[1000],[0]
50,9693,[],[316],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,32]","[49,17]","","",[1000],[0]
51,9694,[],[27],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,66]","[50,75]","","",[1000],[0]
52,9695,[],[309],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,28]","[51,11]","","",[1000],[0]
53,9696,[],[318],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,34]","[52,15]","","",[1000],[0]
54,9697,[],[317],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,33]","[53,18]","","",[1000],[0]
55,9698,[],[632],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,67]","[54,76]","","",[1000],[0]
56,9699,[],[640],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,68]","[55,77]","","",[1000],[0]
57,9700,[],[625],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,40]","[56,39]","","",[1000],[0]
58,9701,[],[310],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,29]","[57,12]","","",[1000],[0]
59,9702,[],[312],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,31]","[58,14]","","",[1000],[0]
60,9703,[],[34],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,69]","[59,19,25]","","",[1000],[0]
61,9704,[],[321],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,70]","[60,78]","","",[1000],[0]
62,9705,[],[634],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,42]","[61,41]","","",[1000],[0]
63,9706,[],[319],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,71]","[62,20,26]","","",[1000],[0]
64,9707,[],[636],[0],[],[],[],"",0,"","","",[],"",[633],[3000],"[44,72]","[63,79,16]","","",[1000],[0]
65,9708,[],[324],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,37]","[43,22]","","",[1000],[0]
66,9709,[],[633],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,64]","[44,73]","","",[1000],[0]
67,9710,[],[320],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,65]","[46,74]","","",[1000],[0]
68,9711,[],[323],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,36]","[47,21]","","",[1000],[0]
69,9712,[],[311],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,30]","[48,13]","","",[1000],[0]
70,9713,[],[316],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,32]","[49,17]","","",[1000],[0]
71,9714,[],[27],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,66]","[50,75]","","",[1000],[0]
72,9715,[],[309],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,28]","[51,11]","","",[1000],[0]
73,9716,[],[318],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,34]","[52,15]","","",[1000],[0]
74,9717,[],[317],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,33]","[53,18]","","",[1000],[0]
75,9718,[],[632],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,67]","[54,76]","","",[1000],[0]
76,9719,[],[640],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,68]","[55,77]","","",[1000],[0]
77,9720,[],[625],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,40]","[56,39]","","",[1000],[0]
78,9721,[],[310],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,29]","[57,12]","","",[1000],[0]
79,9722,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,31]","[58,14]","","",[1000],[0]
80,9723,[],[34],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,69]","[59,19,25]","","",[1000],[0]
81,9724,[],[321],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,70]","[60,78]","","",[1000],[0]
82,9725,[],[634],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,42]","[61,41]","","",[1000],[0]
83,9726,[],[319],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,71]","[62,20,26]","","",[1000],[0]
84,9727,[],[636],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,72]","[63,79,16]","","",[1000],[0]
85,9728,[],[324],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,37]","[43,22]","","",[1000],[0]
86,9729,[],[633],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,64]","[44,73]","","",[1000],[0]
87,9730,[],[313],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,27]","[45,10]","","",[1000],[0]
88,9731,[],[323],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,36]","[47,21]","","",[1000],[0]
89,9732,[],[311],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,30]","[48,13]","","",[1000],[0]
90,9733,[],[316],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,32]","[49,17]","","",[1000],[0]
91,9734,[],[27],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,66]","[50,75]","","",[1000],[0]
92,9735,[],[309],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,28]","[51,11]","","",[1000],[0]
93,9736,[],[318],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,34]","[52,15]","","",[1000],[0]
94,9737,[],[317],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,33]","[53,18]","","",[1000],[0]
95,9738,[],[632],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,67]","[54,76]","","",[1000],[0]
96,9739,[],[640],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,68]","[55,77]","","",[1000],[0]
97,9740,[],[625],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,40]","[56,39]","","",[1000],[0]
98,9741,[],[310],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,29]","[57,12]","","",[1000],[0]
99,9742,[],[312],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,31]","[58,14]","","",[1000],[0]
100,9743,[],[34],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,69]","[59,19,25]","","",[1000],[0]
