"rownum","BaseItemTypesKey","AOFile","bool"
0,563,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,564,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,565,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,566,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,567,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,568,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,569,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,570,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,571,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,572,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3746,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
