"rownum","Level","f32","f32","i32","i32","f32","f32","HeistValueScalingKey1","HeistValueScalingKey2","HeistValueScalingKey3","HeistValueScalingKey4","HeistValueScalingKey5","f32","f32","f32","f32","HeistValueScalingKey6","HeistValueScalingKey7","f32","f32","i32"
0,1,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,15,1,140
1,2,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,17,1,140
2,3,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,26,1,140
3,4,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,35,1,140
4,5,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,44,1,140
5,6,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,53,1,140
6,7,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,63,1,140
7,8,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,72,1,140
8,9,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,81,1,140
9,10,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,91,1,140
10,11,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,100,1,140
11,12,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,110,1,140
12,13,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,119,1,140
13,14,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,129,1,140
14,15,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,138,1,140
15,16,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,148,1,140
16,17,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,157,1,140
17,18,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,167,1,140
18,19,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,176,1,140
19,20,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,186,1,140
20,21,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,195,1,140
21,22,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,205,1,140
22,23,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,215,1,140
23,24,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,224,1,140
24,25,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,234,1,140
25,26,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,244,1,140
26,27,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,253,1,140
27,28,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,263,1,140
28,29,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,273,1,140
29,30,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,282,1,140
