"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect","row"
0,0,0,[2],[],"Quest Complete - You have killed Hillock and received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
1,0,1,"[0,0]",[],"You have killed Hillock, the zombie attacking the town. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,"",216
2,0,2,[0],"[280,0]","You have killed Hillock, the zombie attacking the town and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","","",[1],0,"[""Open the Passive Skill Screen\nSpend your Passive Skill Point""]",[1],[],"",[],[],10,"",216
3,0,3,[0],[],"You have killed Hillock, the zombie attacking the town. Enter through the gate for a reward.","","Enter town for your reward",[0],0,"[""Enter town for your reward""]",[1],[],"",[],[],10,"",216
4,0,4,[1],[],"A large zombie called Hillock is attacking the town. Kill him to gain access.","","Kill Hillock",[1],0,"[""Kill Hillock""]",[1],[],"",[],[],10,"",216
5,5,0,[6],[],"Quest Complete - You have slain Brutus and have received a reward from Tarkleigh.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
6,5,1,"[5,0]",[],"You have killed Brutus and found a way through the Prison. Talk to Tarkleigh in town for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,"",216
7,5,2,[5],[],"You have killed Brutus and unlocked the Prison's exit. Search for it in the Warden's Chambers in the Upper Prison.","","The Prison's exit is now open",[11],0,"[""Find the exit from the Prison""]",[10],[],"",[],[],10,"",216
8,5,3,[514],[],"You have found Brutus in the Warden's Chambers in the Upper Prison. Kill him to unlock the exit.","","Kill Brutus",[10],0,"[""Kill Brutus""]",[10],[],"",[],[],10,"",216
9,5,4,[130],[797],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","Return to town for assistance",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],10,"",216
10,5,5,[797],[4],"You have found Axiom Prison, home to Brutus, the Warden. Return to town for help preparing for the coming battle.","","",[0],0,"[""Talk to Tarkleigh""]",[0],[],"",[],[],10,"",216
11,5,6,[4],[],"The Warden, Brutus, has blockaded Axiom Prison. Kill him to get through.","","Kill Brutus",[10],0,"[""Explore the Prison and kill Brutus""]",[10],[],"",[],[],10,"",216
12,7,0,"[10,0]",[],"Quest Complete - You have slain Merveil. You are now able to travel to Act 2.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
13,7,1,[10],[],"Quest Complete - You have slain Merveil and reached Act 2. Talk to Nessa for a reward.","","Talk to Nessa for your reward",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],10,"",216
14,7,2,"[9,0]",[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],10,"",216
15,7,3,[9],[],"You have killed Merveil, the Siren. Find the exit to her lair and enter the forest. You can also talk to Nessa in town for a reward.","","The lair's exit is now unlocked",[15],0,"[""Find the exit to Act 2""]",[14],[],"",[],[],10,"",216
16,7,4,"[513,0]",[],"Kill Merveil, the Siren, in her lair.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,"",216
17,7,5,[513],[],"Kill Merveil, the Siren, in her lair. You can also talk to Nessa in town for help with the battle.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,"",216
18,7,6,[132],[72],"You have discovered the cavernous lair of Merveil, the Siren. Return to town for help preparing for the coming battle.","","Talk to Nessa",[0],0,"[""Talk to Nessa""]",[0],[],"",[],[],10,"",216
19,7,7,[8],[],"Merveil, the Siren, is luring sailors and exiles alike to their doom. Find her and kill her.","","Kill Merveil",[14],0,"[""Kill Merveil""]",[14],[],"",[],[],10,"",216
20,2,0,[36],[],"Quest Complete - You have opened the Submerged Passage. Tarkleigh has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
21,2,1,[24],"[27,0,0,0,128]","The Submerged Passage is now open. Speak to Tarkleigh for a reward.","","The Submerged Passage is now open",[7],0,"[""Enter the Submerged Passage""]",[4],[],"",[],[],10,"",216
22,2,2,[24],[],"You have opened the Submerged Passage. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,"",216
23,2,3,"[25,0,0,0]",[],"In order to unlock the cave entrance you must take the three glyphs to the glyph wall.","","Take the Glyphs to the Glyph Wall",[4],0,"[""Take the Glyphs to the Glyph Wall""]",[4],[],"",[],[],10,"",216
24,2,4,"[23,0]",[],"In order to unlock the cave entrance you must find all three glyphs. They can be found in Rhoa nests in the Mud Flats.","","Find the Glyphs in the Rhoa Nests",[4],0,"[""Find the Glyphs in the Rhoa Nests""]",[4],[],"",[],[],10,"",216
25,2,5,"[25,0]",[],"Look around the Mud flats for more clues about how to lower the water. Tarkleigh has suggested that there might be a clue in the Rhoa nests.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],10,"",216
26,2,6,[25],[],"Look around the Mud Flats for more clues about how to lower the water. There is a strange wall that looks like it needs three objects. Tarkleigh may have more ideas.","","Investigate the Mud Flats for a way to lower the water","[0,4]",0,"[""Explore the Mud Flats""]",[4],[],"",[],[],10,"",216
