"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6427],[1],[221],"Captain Tanner Lightfoot",[100],[191],"Pirate Treasure",[2589],[-50],"Soul of the Brine King",[30],1164,1389,1390,1391,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5835],"Hybrid Widow",[20],[6333],"Queen of the Great Tangle",[6091],[40],"Soul of Arakaali",[20],1294,1392,1393,1394,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Bin'aia, Crimson Rain","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6156,6157]","[6,20]",[6158],"The Infernal King",[1],[6159],"Jorus, Sky's Edge",[6162],[50],"Soul of Solaris",[-8],1426,1395,1396,1397,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6163,6164]","[1,1]",[6165],"Khor, Sister of Shadows",[-6],[15339],"Captain Clayborne, The Accursed",[6167],[100],"Soul of Lunaris",[10],1426,1398,1399,1400,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Megaera","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14691],[-60],"[6911,5836]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1200,1402,71,71,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5845],[1],[6148],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1386,1405,71,71,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10917,14692]","[-50,50]",[1277],"",[],[],"",[],[],"Soul of Yugul",[-30],1438,1406,71,71,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Terror of the Infinite Drifts","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11810,11811]","[-50,3]","[3421,6515]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1629,1407,71,71,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5838],[3],[11768],"",[],[],"",[],[],"Soul of Tukohama",[120],1175,1401,71,71,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6155,3382]","[-25,1]",[14325],"",[],[],"",[],[],"Soul of Ralakesh",[1],1273,1404,71,71,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3587],[-60],"[2400,5849]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1566,1408,71,71,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5841,5842]","[3,60]",[15871],"",[],[],"",[],[],"Soul of Ryslatha",[-50],1193,1403,71,71,"",[]
