"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","i32","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,9549,225,0,2333,1100,"[1246,1248,1247,1245]",1308,2297,1,[],[8796],[9245]
1,"Void2",4,83,975,4,9550,225,0,2333,1101,"[1736,1735,1733,1734]",1308,2298,1,[],[8797],[9246]
2,"Void3",4,83,976,4,9551,225,0,2333,1102,"[457,455,454,456]",1308,2299,1,[],[8798],[9247]
3,"Void4",4,83,977,4,9552,225,0,2333,1103,"[1076,1078,1079,1080]",1308,2300,1,[],[8799],[9248]
4,"Void5",5,83,978,5,9553,225,0,2333,1104,"[453,1077,757,1249,1282]",1308,2348,1,[],[8800],[9249]
5,"Void6",4,83,1162,4,9554,225,0,2333,1161,"[1737,1738,1739,1740]",1308,2350,1,[],[8801],[9250]
6,"Atlas1",3,73,979,2,9555,225,6,2334,1019,[],1308,2301,"",[],[],[]
7,"Atlas2",4,75,980,2,9556,979,8,2334,1019,[],1308,2302,"",[],[],[]
8,"Atlas3",5,78,981,3,9557,980,10,2334,1019,[],1308,2303,"",[],[],[]
9,"Atlas4",6,80,982,3,9558,981,12,2334,1019,[],1308,2304,"",[],[],[]
10,"Atlas5",10,83,983,10,9559,982,14,2334,1019,[],1084,2349,"",[],[],[]
