"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","rid","i32","[i32]","bool","bool","i32"
0,"SkillGemTutorial","",58,"",0,[],11,100,[],"",1,0
1,"LifeFlaskTutorial","",58,"",0,[],22,100,[],"",1,0
2,"ManaFlaskTutorial","",58,"",0,[],219,100,[],"",1,0
3,"SupportGemTutorial","",58,"",0,[],218,100,[],"",1,0
4,"PassivePointTutorial","",58,"",0,[],280,100,[],"",1,0
5,"SecondPassivePointTutorial","",58,"",0,[],368,100,[],"",1,0
6,"StashTutorial","",58,"",0,[],431,100,[],"",1,0
7,"OverlapMapTutorial","",58,"",0,[],432,100,[],"",1,0
8,"AttackInPlaceTutorial","",58,"",0,[],893,100,[],"",1,0
9,"WaypointTutorial","",58,"",0,[],111,100,[],"",1,0
10,"ItemComparisonTutorial","",58,"",0,[],90,100,[],"",1,0
11,"WisdomScrollTutorial","",58,"",0,[],369,100,[],"",1,0
12,"GemLevelUpTutorial","",58,"",0,[],370,100,[],"",1,0
13,"PortalScrollTutorial","",58,"",0,[],1861,100,[],"",1,0
14,"ReturnToCoastTutorial","",58,"",0,[],1862,100,[],"",1,0
15,"ShopOrCosmeticsTabOpened","",58,"",0,[],1783,100,[],"",1,0
16,"XboxDelveBindingTutorial","",58,"",0,[],2026,100,[],"",1,0
17,"AllTutorials","",58,"",0,[],367,100,[],"",1,0
18,"WatchstoneTutorial","",58,"",0,[],1879,100,[],"",1,0
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",62,"",0,[],"",100,[],"",1,0
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",111,"",0,[],"",100,[],"",1,0
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",94,"",0,[],"",100,[],"",1,0
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",170,"",0,[],"",100,[],"",1,0
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3514,1,2,[124],1760,3,[],"",1,0
