"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9015,111,"Essence Item",52571,[]
1,9016,131,"Currency Item",52259,[]
2,9017,151,"Unique Item",18701,[]
3,9018,121,"Map Item",22038,[]
4,9019,251,"Unique Map Item",6696,[]
5,9020,301,"Rare Abyss Item",41772,[]
6,9021,301,"Fragment Item",60390,[]
7,9022,301,"Scarab Item",32186,[]
8,9023,151,"Essence Item",23218,[]
9,9024,301,"Fossil Item",19642,[]
10,9025,221,"Expedition Item",40101,[]
11,9026,151,"Stacked Decks",34745,[]
12,9027,151,"Talisman Item",43064,[]
13,9028,161,"Enchanted Helmet",19352,[]
14,9029,1001,"6-Linked Armour Item",6078,[]
15,9030,141,"Currency Item",14134,[]
16,9031,1501,"League-specific Unique Item",4526,[]
17,9032,501,"Shaper or Elder Armour Item",61377,[]
18,9033,501,"Shaper or Elder Weapon Item",53204,[]
19,9034,701,"Shaper or Elder Trinket Item",61894,[]
20,9035,501,"Elder Map Item",39336,[]
21,9036,351,"Breach Item",43164,[]
22,9037,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9038,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9039,301,"Item",31223,[]
25,9040,121,"Quality Gem",16288,[]
26,9041,151,"Bestiary Item",28161,[]
27,9042,221,"Blight Item",19373,[]
28,9043,221,"Metamorph Item",62324,[]
29,9044,431,"Delirium Item",23535,[]
30,9045,111,"Essence Item",46750,[]
31,9046,131,"Currency Item",54300,[]
32,9047,151,"Unique Item",59184,[]
33,9048,121,"Map Item",43361,[]
34,9049,251,"Unique Map Item",37492,[]
35,9050,301,"Rare Abyss Item",2531,[]
36,9051,301,"Fragment Item",4173,[]
37,9052,301,"Scarab Item",25303,[]
38,9053,151,"Essence Item",31454,[]
39,9054,301,"Fossil Item",51101,[]
40,9055,221,"Expedition Item",41074,[]
41,9056,151,"Stacked Decks",47490,[]
42,9057,151,"Talisman Item",23793,[]
43,9058,161,"Enchanted Helmet",42868,[]
44,9059,1001,"6-Linked Armour Item",12755,[]
45,9060,141,"Currency Item",30048,[]
46,9061,1501,"League-specific Unique Item",32094,[]
47,9062,501,"Shaper or Elder Armour Item",38195,[]
48,9063,501,"Shaper or Elder Weapon Item",28068,[]
49,9064,701,"Shaper or Elder Trinket Item",52048,[]
50,9065,501,"Elder Map Item",56725,[]
51,9066,351,"Breach Item",39939,[]
52,9067,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9068,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9069,301,"Item",55071,[]
55,9070,121,"Quality Gem",43471,[]
56,9071,151,"Bestiary Item",58563,[]
57,9072,221,"Blight Item",24651,[]
58,9073,221,"Metamorph Item",65346,[]
59,9074,431,"Delirium Item",12740,[]
