"rownum","Id","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"DIVIDER2",""
5,"Quests",1
6,"QuestReward",1
7,"NextPresetQuest",1
8,"BanditRespec",1
9,"DIVIDER3",1
10,"SynthesisOptions",1
11,"MetamorphosisOptions",1
12,"BuyAzuriteItems",1
13,"ViewIncursionTemple",1
14,"OpenIncursionPortal",1
15,"OpenIncursionTemple",1
16,"ItemiseIncursionTemple",""
17,"OpenHeistNPCInventory",1
18,"OpenHeistNPCBlueprint",1
19,"OpenExpeditionMap",1
20,"OpenExpeditionStorage",1
21,"RightMenu",1
22,"RespecHellscapePassives",1
23,"BuyItems",1
24,"SellItems",1
25,"UnveilItems",1
26,"Crafting",1
27,"DIVIDER4",1
28,"PVP",1
29,"ArenaPVP",1
30,"DIVIDER5",1
31,"TradeDivinationCards",1
32,"CadiroOffer",1
33,"ViewPantheon",1
34,"EndlessHeistContracts",1
35,"DIVIDER6",1
36,"SelectHideout",1
37,"SelectGuildHideout",1
38,"InviteToHideout",1
39,"BuyExpeditionItems",1
40,"BuySanctumRelics",1
