"rownum","rid","bool","i32","i32","i32","rid","bool","bool","bool"
0,10141,1,69,0,0,3053453312,"","",""
1,10138,1,69,0,0,3053453312,"","",""
2,10137,1,69,0,0,3053453312,"","",""
3,10142,1,69,0,0,3053453312,"","",""
4,10136,1,69,0,0,3053453312,"","",""
5,10140,1,69,0,0,3053453312,"","",""
6,10139,1,69,0,0,3053453312,"","",""
7,10100,1,69,0,0,3036676096,"","",""
8,10102,1,69,0,0,3036676096,"","",""
9,10105,1,69,0,0,3036676096,"","",""
10,10107,1,69,0,0,3036676096,"","",""
11,10108,1,69,0,0,3019898880,"","",""
12,10104,1,69,0,0,3036676096,"","",""
13,10103,1,69,0,0,3019898880,"","",""
14,10101,1,69,0,0,3019898880,"","",""
15,10106,1,69,0,0,3019898880,"","",""
16,9289,1,69,0,0,3053453312,"","",""
17,9288,1,69,0,0,3053453312,"","",""
18,9299,1,69,0,0,3070230528,"","",""
19,9298,1,69,0,0,3053453312,"","",""
20,9297,1,69,0,0,3036676096,"","",""
21,9296,1,69,0,0,3036676096,"","",""
22,9295,1,69,0,0,3036676096,"","",""
23,9294,1,69,0,0,3019898880,"","",""
24,9293,1,69,0,0,3019898880,"","",""
25,9292,1,69,0,0,3019898880,"","",""
26,9291,1,69,0,0,3019898880,"","",""
27,9302,1,69,0,0,3003121664,"","",""
28,9301,1,69,0,0,3003121664,"","",""
29,9300,1,69,0,0,3003121664,"","",""
30,9290,1,69,0,0,3003121664,"","",""
31,0,1,69,0,0,3003121664,"","",""
32,29,1,69,0,0,3003121664,"","",""
33,204,1,69,0,0,3019898880,"","",""
34,6,1,69,0,0,3019898880,"","",""
35,10,1,69,0,0,3003121664,"","",""
36,7,1,69,0,0,3003121664,"","",""
37,14,1,69,0,0,3019898880,"","",""
38,9545,1,69,0,0,3053453312,"","",""
39,208,1,69,0,0,3036676096,"","",""
40,207,1,69,0,0,3019898880,"","",""
41,30,1,69,0,0,3070230528,"","",""
42,209,1,69,0,0,3053453312,"","",""
43,47,1,69,0,0,3070230528,"","",""
44,21,1,69,0,0,3003121664,"","",""
45,20,1,69,0,0,3003121664,"","",""
46,19,1,69,0,0,3003121664,"","",""
47,46,1,69,0,0,3070230528,"","",""
48,3,1,69,0,0,3053453312,"","",""
49,2,1,69,0,0,3036676096,"","",""
50,205,1,69,0,0,3019898880,"","",""
51,11,1,69,0,0,3003121664,"","",""
52,23,1,69,0,0,3019898880,"","",""
53,24,1,69,0,0,3070230528,"","",""
54,203,1,69,0,0,3053453312,"","",""
55,9640,1,69,0,0,3053453312,"","",""
56,9639,1,69,0,0,3053453312,"","",""
57,9638,1,69,0,0,3053453312,"","",""
58,9637,1,69,0,0,3053453312,"","",""
59,16,1,69,0,0,3003121664,"","",""
60,8,1,69,0,0,3003121664,"","",""
61,22,1,69,0,0,3070230528,"","",""
62,25,1,69,0,0,3003121664,"","",""
63,35,1,69,0,0,3053453312,"","",""
64,291,1,69,0,0,3053453312,"","",""
65,287,1,69,0,0,3053453312,"","",""
66,288,1,69,0,0,3053453312,"","",""
67,290,1,69,0,0,3036676096,"","",""
68,283,1,69,0,0,3036676096,"","",""
69,286,1,69,0,0,3036676096,"","",""
70,292,1,69,0,0,3036676096,"","",""
71,284,1,69,0,0,3019898880,"","",""
72,289,1,69,0,0,3019898880,"","",""
73,285,1,69,0,0,3019898880,"","",""
