"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1111,0,344,[],[],9259,"",[],[],0,351,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1113,0,344,[],[],9259,"",[],[],0,351,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1115,0,344,[],[],9259,"",[],[],0,351,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4241,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4248,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4255,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4255,1,344,[1230],[20],6917,"",[],[],0,351,[7939],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,6026,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,6027,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,6028,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,6029,0,344,[],[],9259,"",[],[],0,351,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,516,[10555],[1],9196,"",[],[],0,505,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,516,[10555],[1],9223,1,[],[],0,505,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,516,[10555],[1],9234,1,"[175,318,4548]","[200,400,1]",0,505,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,516,[10555],[1],9227,1,[1211],[200],0,505,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2696,0,344,[],[],9259,"",[],[],0,351,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2696,1,675,[],[],9215,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2659,0,344,[],[],9259,"",[],[],0,351,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2659,1,675,[],[],9215,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2664,0,344,[],[],9259,"",[],[],0,351,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2664,2,1976,[],[],9279,51,"[173,2501]","[4,10]",0,"",[1977],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2664,3,1976,[],[],9281,51,"[3208,5752]","[20,-40]",0,"",[1977],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2664,4,1976,[],[],9221,51,"[173,2501]","[0,5]",0,"",[1977],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2699,0,344,[],[],9259,"",[],[],0,351,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2699,2,1976,[],[],9279,51,"[173,2501]","[4,10]",0,"",[1977],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2699,3,1976,[],[],9281,51,"[3208,5752]","[20,-40]",0,"",[1977],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2699,4,1976,[],[],9221,51,"[173,2501]","[0,5]",0,"",[1977],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
27,2722,0,344,[],[],9259,"",[],[],0,351,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
28,2722,3,2063,[214],[8],9245,51,"[175,634,6153]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath",62,[],0,0,[],[],[],[],[],""
29,2662,0,353,[],[],9259,"",[],[],0,"",[],0,"","","",[],"Fire Strike",0,[],0,0,[],[],[],[],[],""
30,2662,1,2866,[],[],9240,24,[],[],0,"",[],0,"","","",[],"Flamecrack",57,[],0,0,[],[],[],[],[],""
