"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9232
1,0,2,9233
2,0,3,9234
3,0,4,9235
4,1,1,9220
5,1,2,9221
6,1,3,9222
7,1,4,9223
8,2,1,9224
9,2,2,9225
10,2,3,9226
11,2,4,9227
12,3,1,9228
13,3,2,9229
14,3,3,9230
15,3,4,9231
16,4,1,9240
17,4,2,9241
18,4,3,9242
19,4,4,9243
20,5,1,9244
21,5,2,9245
22,5,3,9246
23,5,4,9247
24,6,1,9252
25,6,2,9253
26,6,3,9254
27,6,4,9255
28,7,1,9256
29,7,2,9257
30,7,3,9258
31,7,4,9259
32,8,1,9260
33,8,2,9261
34,8,3,9262
35,8,4,9263
36,9,1,9264
37,9,2,9265
38,9,3,9266
39,9,4,9267
40,10,1,9268
41,10,2,9269
42,10,3,9270
43,10,4,9271
44,11,1,9272
45,11,2,9273
46,11,3,9274
47,11,4,9275
48,12,1,9276
49,12,2,9277
50,12,3,9278
51,12,4,9279
52,13,1,9248
53,13,2,9249
54,13,3,9250
55,13,4,9251
56,14,1,9280
57,14,2,9281
58,14,3,9282
59,14,4,9283
60,15,1,9284
61,15,2,9285
62,15,3,9286
63,15,4,9287
