"rownum","string","[rid]","[string]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","rid"
0,"HarvestThornOnHit",[4138],[],1,0,0,0,1040187392,0,0,0,1040187392,0,"","","",""
1,"HarvestBulbOnHit",[4139],[],1,0,0,0,1912602624,0,0,0,1912602624,0,"","","",""
2,"HarvestScaleOnHit",[4140],[],1,0,0,0,-1476395008,0,0,0,-1476395008,0,"","","",""
3,"HarvestRavenBossScreechHit",[4266],[],1,16777216,16777216,0,0,1,0,0,134217728,1,"","","",""
4,"HarvestSpikerBreathImpact",[4270],[],1,16777216,0,0,1308622848,1,16777216,0,1509949440,1,"","","",""
5,"HarvestCatBossStealthHit",[4301],[],1,16777216,0,0,-1509949440,1,0,0,-1509949440,1,"","","",""
6,"HarvestPlagueSpiderViperStrikeImpact",[4328],[],1,16777216,0,0,33554432,2,16777216,0,33554432,2,"","","",""
7,"HarvestMinerHammerGasHit",[4329],[],1,0,0,0,1308622848,2,0,0,1308622848,2,"","","",""
8,"HarvestSnakeHeadbuttImpact",[4376],[],1,16777216,0,0,-1778384896,2,16777216,0,-1778384896,2,"","","",""
9,"HeistTemplarRangedSnipeImpact",[4397],[],1,16777216,0,0,-335544320,2,0,0,-335544320,2,"","","",""
10,"HeistMilitaryBounceShield",[4529],[],1,16777216,0,0,838860800,3,16777216,0,1241513984,3,"","","",""
11,"GreenShockHit",[4553],[],1,0,0,0,-2147483648,3,0,0,-2147483648,3,"","","",""
12,"HeistYellowChaosHit",[4647],[],1,0,0,0,-1174405120,3,0,0,-1174405120,3,"","","",""
13,"RedLightningHit",[4724],[],1,0,0,0,-335544320,3,0,0,-335544320,3,"","","",""
14,"HeistTrapLaserBeamImpact",[4686],[],1,0,0,0,805306368,4,0,0,805306368,4,"","","",""
15,"HeistTwinsColdSnipeImpact",[4785],[],1,0,0,0,1979711488,4,16777216,0,1979711488,4,"","","",""
16,"BrutalPirateLordHitEffect",[4977],[],1,0,0,0,-1006632960,4,0,0,-1006632960,4,"","","",""
17,"CrimsonPriestRuneHitEffect",[5027],[],1,0,16777216,0,469762048,5,0,0,603979776,5,"","","",""
18,"MavenOnHitEffect",[5186],[],1,0,0,0,1476395008,5,0,0,1476395008,5,"","","",""
19,"MavenBrainOnHitEffect",[5187],[],1,0,0,0,-1778384896,5,0,0,-1778384896,5,"","","",""
20,"BloodTendrilsOnHitEffect",[5233],[],1,50331648,0,0,-637534208,5,0,0,-637534208,5,"","","",""
21,"BloodScytheHitEffect",[5328],[],1,50331648,0,0,369098752,6,0,0,369098752,6,"","","",""
22,"BloodScytheHitEffectConsole",[5329],[],1,50331648,0,0,1610612736,6,0,0,1610612736,6,"","","",""
23,"OblivionToxicRainHitEffect",[5340],[],1,0,0,0,-1476395008,6,0,0,-1476395008,6,"","","",""
24,"ArcaneHit",[5486],[],1,0,0,0,-838860800,6,0,0,-838860800,6,"","","",""
25,"VoidEmperorFireDamage",[],[],1,0,0,0,-67108864,6,0,0,-67108864,6,"","","",308
26,"StygianFireHit",[5565],[],1,0,0,0,738197504,7,0,0,738197504,7,"","","",""
27,"DemonicLightningHit",[5599],[],1,0,0,0,1711276032,7,0,0,1711276032,7,"","","",""
28,"BloodTendrilsOnHitEffectTranscendence",[5603],[],1,50331648,0,0,-1006632960,7,0,0,-1006632960,7,"","","",""
29,"SpectralSpiralHitEffect",[],[],1,0,0,0,-167772160,7,0,0,-167772160,7,"","","",323
30,"TraumaStrikeHitEffect",[5616],[],1,0,0,0,872415232,8,0,0,872415232,8,"","","",""
31,"RageVortexHit",[5656],[],1,0,0,0,1644167168,8,0,0,1644167168,8,"","","",""
32,"BurningArrowMysticHit",[5700],[],1,0,0,0,-1610612736,8,0,0,-1610612736,8,"","","",""
33,"ExpeditionMedvedChaosHit",[5703],[],1,0,0,0,-469762048,8,0,0,-469762048,8,"","","",""
34,"ExpeditionVoranaHit",[5704],[],1,0,0,0,503316480,9,0,0,503316480,9,"","","",""
35,"ExpeditionPhsicalOnHit",[5705],[],1,0,0,0,1577058304,9,0,0,1577058304,9,"","","",""
36,"ExpeditionFireOnHit",[5706],[],1,0,0,0,-1744830464,9,0,0,-1744830464,9,"","","",""
37,"ExpeditionColdOnHit",[5707],[],1,0,0,0,-771751936,9,0,0,-771751936,9,"","","",""
38,"ExpeditionChaosOnHit",[5708],[],1,0,0,0,234881024,10,0,0,234881024,10,"","","",""
39,"OlrothBloodSpatter1",[5730],[],1,0,0,0,1207959552,10,0,0,1207959552,10,"","","",""
40,"OlrothBloodSpatter2",[5731],[],1,16777216,0,0,-2113929216,10,0,0,-2113929216,10,"","","",""
41,"OlrothBloodSpatter3",[5732],[],1,16777216,0,0,-1140850688,10,0,0,-1140850688,10,"","","",""
42,"MyrmidonLightningStrikeHit",[5748],[],1,0,0,0,67108864,11,0,0,67108864,11,"","","",""
43,"HellscapeDemonEliteScreechHit",[6043],[],1,16777216,16777216,0,1375731712,11,0,0,1509949440,11,"","","",""
44,"DirebladeFireHit",[6062],[],1,0,0,0,-1912602624,11,0,0,-1912602624,11,"","","",""
45,"HellscapePaleBossSnipePierce",[6081],[],1,16777216,0,0,-637534208,11,0,0,-637534208,11,"","","",""
46,"HellscapePaleBossAxeTossPierce",[6086],[],1,16777216,0,0,704643072,12,0,0,704643072,12,"","","",""
47,"OblivionSummonRagingSpiritsHit",[6104],[],1,0,0,0,2046820352,12,0,0,2046820352,12,"","","",""
48,"OnyxOblivionSummonRagingSpiritsHit",[6105],[],1,0,0,0,-771751936,12,0,0,-771751936,12,"","","",""
49,"StygianScourgeArrowHit",[6193],[],1,0,0,0,301989888,13,0,0,301989888,13,"","","",""
50,"ProjectEssenceDrainHit",[6211],[],1,0,0,0,1375731712,13,0,0,1375731712,13,"","","",""
51,"ScientistEssenceDrainHit",[6212],[],1,0,0,0,-1778384896,13,0,0,-1778384896,13,"","","",""
52,"VoidSparkHit",[6222],[],1,0,0,0,-1040187392,13,0,0,-1040187392,13,"","","",""
53,"AuspiciousToxicRainHit",[6239],[],1,0,0,0,33554432,14,0,0,33554432,14,"","","",""
54,"BloodTendrilsOnHitEffectMercurial",[6298],[],1,50331648,0,0,1476395008,14,0,0,1476395008,14,"","","",""
55,"ToxicRainOnHitEffectVulcan",[6314],[],1,0,0,0,-1610612736,14,0,0,-1610612736,14,"","","",""
56,"ConsumeBossLightningHit",[6349],[],1,0,0,0,-503316480,14,0,0,-503316480,14,"","","",""
57,"VulcanLightningStrikeHit",[6373],[],1,0,0,0,637534208,15,0,0,637534208,15,"","","",""
58,"SummonRagingSpiritsDemonicHit",[6391],[],1,0,0,0,1946157056,15,0,0,1946157056,15,"","","",""
59,"CelestialEnergyBladeHit",[6414],[],1,50331648,0,0,-1241513984,15,0,0,-1241513984,15,"","","",""
60,"DivineLightningArrowHit",[6513],[],1,0,0,0,-134217728,15,0,0,-134217728,15,"","","",""
61,"OblivionFireTrapHit",[6517],[],1,0,0,0,838860800,16,0,0,838860800,16,"","","",""
62,"OozeCharacterEffectHit",[6527],[],1,50331648,0,0,1912602624,16,0,0,1912602624,16,"","","",""
63,"MagmaMoltenShellHit",[6528],[],1,50331648,0,0,-1409286144,16,0,0,-1409286144,16,"","","",""
64,"TraumaStrikeHitEffectCelestial",[6550],[],1,50331648,0,0,-67108864,16,0,0,-67108864,16,"","","",""
65,"MistCharacterEffectHit",[6552],[],1,16777216,0,0,1006632960,17,0,0,1006632960,17,"","","",""
66,"BattlePassThreeColdIronPointHit",[6558],[],1,50331648,0,0,-1912602624,17,0,0,-1912602624,17,"","","",""
67,"IllusionistCobraLashHit",[6662],[],1,0,0,0,-805306368,17,0,0,-805306368,17,"","","",""
68,"VoidEmperorLightningStrikeHit",[6673],[],1,0,16777216,0,503316480,18,0,0,637534208,18,"","","",""
69,"StarfallRageSlashHit",[6679],[],1,0,0,0,1644167168,18,0,0,1644167168,18,"","","",""
70,"StarfallBloodScytheHit",[6683],[],1,50331648,0,0,-1577058304,18,0,0,-1577058304,18,"","","",""
71,"StarfallBloodScytheHitConsole",[6684],[],1,50331648,0,0,-268435456,18,0,0,-268435456,18,"","","",""
72,"HolyUndeadHit",[6688],[],1,0,0,0,503316480,19,0,0,503316480,19,"","","",""
73,"AutomatonLightningTendrilHit",[6690],[],1,0,0,0,1778384896,19,0,0,1778384896,19,"","","",""
74,"ClockworkCharacterEffectHit",[6703],[],1,16777216,0,0,-1275068416,19,0,0,-1275068416,19,"","","",""
75,"MTXTopazFlaskShieldHitEffect",[6755],[],1,16777216,0,0,0,20,0,0,0,20,"","","",""
76,"MTXRubyFlaskShieldHitEffect",[6756],[],1,16777216,0,0,1241513984,20,0,0,1241513984,20,"","","",""
77,"MTXSapphireFlaskShieldHitEffect",[6757],[],1,16777216,0,0,-1677721600,20,0,0,-1677721600,20,"","","",""
78,"MTXAmethystFlaskShieldHitEffect",[6758],[],1,33554432,0,0,-301989888,20,0,0,-301989888,20,"","","",""
79,"MtxBattlePassFourShavronnesWrappingsHitEffect",[6825],[],1,16777216,0,0,1543503872,21,0,0,1543503872,21,"","","",""
80,"SanctumReaperHit",[6809],[],1,0,0,0,-1879048192,21,0,0,-1879048192,21,"","","",""
81,"SawbladeLightningStrikeHit",[6996],[],1,0,0,0,-671088640,21,0,0,-671088640,21,"","","",""
82,"PlayerBlood",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",1,67108864,0,0,-1845493760,22,0,0,-1845493760,22,"","","",""
83,"PlayerBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_player.pet""]",1,67108864,0,0,1073741824,23,0,0,1073741824,23,"","","",""
84,"ExtraGoreRedSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet""]",1,67108864,0,0,167772160,24,0,0,167772160,24,"","","",""
85,"ExtraGoreRedLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood1_impact.pet""]",1,67108864,0,0,-704643072,24,0,0,-704643072,24,"","","",""
86,"ExtraGoreRedCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",1,67108864,0,0,-1509949440,25,0,0,-1509949440,25,"","","",""
