"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys","[rid]"
0,"IIQGrind",[],[1037],[],[],1,[0],[]
1,"TierGrind",[],[10010],[8218],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],"[8094,9525]",[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[21],[],[],[],1,[0],[]
14,"NemesisSextant",[22],[],[],[],1,[0],[]
15,"GroundHasteSextant",[23],[],[],[],1,[0],[]
16,"NoReflectSextant",[24],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[25],[],[],[],1,[0],[]
18,"BodyguardsSextant",[26],[],[],[],1,[0],[]
19,"BarrelSextant","[27,28,29,30,31,32]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[33],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[34],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[35],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[36],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[37],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[38],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[39],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[40],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[42],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[43],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[44],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[45],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[46],[],[],[],1,[0],[]
33,"BeyondSextant",[47],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[48],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[49],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[50],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[51],[],[],[],1,[0],[]
38,"LegionSextant","[21,53]",[],[],[],1,[0],[]
39,"Tempest",[52],[],[],[],1,[0],[]
40,"Total10Mods",[9],[],[1023],[],1,[0],[]
41,"HasQuality",[54],[],[],[],1,[0],[]
42,"RareDeliriumMap","[1,55]",[],[],[],1,[0],[]
43,"RareDeliriumMapMaxDelirium","[1,56]",[],[7101],[],1,[0],[]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,56,6,20]",[],[8782],[],1,[0],[]
45,"TwinnedMapMaxDelirium","[3,56]",[],[],[],1,[0],[]
46,"RareMapAwakening8MaxDelirium","[1,57,56]",[],[],[],1,[0],[]
47,"ElderGuardianMapMaxDelirium","[58,56]",[],[],[],1,[0],[]
48,"8ModBlightedMap","[59,73,8]",[],[8947],[],1,[0],[]
49,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1004,869,793,1201]",[]
