"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8434],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8435],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8436],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8437],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8438],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8439],999,"",6000,6000,"","",1
6,"LightningPylon",[8440],16,"",50,0,"",1,""
7,"LightningPylonUber",[8441],16,"",50,0,"",1,""
8,"Necromantic1","[3628,3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3642,3643,3644,3645,3646,3647,3648,3649]",4,1,6000,0,"","",1
9,"Necromantic2","[3628,3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3642,3643,3644,3645,3646,3647,3648,3649]",5,1,5000,0,"","",1
10,"Necromantic3","[3628,3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3641,3642,3643,3644,3645,3646,3647,3648,3649]",6,1,4000,0,"","",1
11,"Necromantic4","[3628,3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3641,3642,3643,3644,3645,3646,3647,3648,3649]",7,1,3000,0,"","",1
12,"Vaal",[8442],1,"",800,0,1,"",""
13,"Golden",[8443],999,"",4000,0,"","",1
14,"PhysicalBleed",[8445],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[8446],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[8452],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[8449],999,"",2000,2000,"","",1
18,"GenericCharges",[8447],1,"",300,0,1,"",""
19,"GenericMassive",[8448],1,"",300,0,1,"",""
20,"GenericSpeed",[8444],1,"",300,0,1,"",""
21,"GenericFortify",[8450],999,"",5000,0,"","",1
22,"GenericEnergyShield",[8451],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8604],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8605],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8606],1,"",1000,0,"","",""
26,"UltimatumLightningRune1",[8607],5,"",50,0,"",1,1
27,"UltimatumLightningRune2",[8608],5,"",50,0,"",1,1
28,"UltimatumLightningRune3",[8608],9,"",50,0,"",1,1
29,"UltimatumLightningRune1Trial",[8607],3,"",50,0,"","",""
30,"UltimatumLightningRune2Trial",[8608],3,"",50,0,"","",""
31,"UltimatumFlameSpitter1",[8631],2,"",50,0,"",1,1
32,"UltimatumFlameSpitter2",[8631],4,"",50,0,"",1,1
33,"UltimatumFlameSpitter3",[8632],4,"",50,0,"",1,1
34,"UltimatumFlameSpitter1Trial",[8631],1,"",0,0,"",1,1
35,"UltimatumFlameSpitter2Trial",[8631],2,"",50,0,"",1,1
36,"UltimatumFlameSpitter3Trial",[8632],2,"",50,0,"",1,1
37,"UltimatumFrostInfection1",[8615],1,"",0,0,1,"",""
38,"UltimatumFrostInfection2",[8616],1,"",0,0,1,"",""
39,"UltimatumFrostInfection3",[8617],1,"",0,0,1,"",""
40,"UltimatumGraveyard1",[8629],2,"",50,0,"",1,1
41,"UltimatumGraveyard2",[8629],4,"",50,0,"",1,1
42,"UltimatumGraveyard3",[8630],4,"",50,0,"",1,1
43,"UltimatumGraveyard1Trial",[8629],1,"",0,0,"",1,1
44,"UltimatumGraveyard2Trial",[8629],2,"",50,0,"",1,1
45,"UltimatumGraveyard3Trial",[8630],2,"",50,0,"",1,1
46,"UltimatumRevenant1",[8620],1,"",0,0,"",1,1
47,"UltimatumRevenant2",[8621],1,"",0,0,"",1,1
48,"UltimatumRevenant3",[8622],1,"",0,0,"",1,1
49,"UltimatumSawblade1",[8623],1,"",0,0,1,"",""
50,"UltimatumSawblade2",[8624],1,"",0,0,1,"",""
51,"UltimatumSawblade3",[8625],1,"",0,0,1,"",""
52,"UltimatumTotemPhys",[8634],1,"",0,0,"",1,1
53,"UltimatumTotemEle",[8635],1,"",0,0,"",1,1
