"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8273,0,[3],[6299],"",0,1,-30,0,150,800
1,8273,1,[1],"[6304,9777]","",0,1,-30,0,150,800
2,8276,0,[1],[],"",0,1,0,0,150,800
3,8278,0,"[1,3]","[6303,9777]","",0,1,-30,0,150,800
4,8280,0,"[1,3]","[6281,9777]","",0,1,-30,0,150,800
5,8282,0,[2],[1646],"",10,1,-15,0,150,800
6,8284,0,[2],[6286],"",10,1,10,0,150,800
7,8286,0,"[3,1]",[6300],"",0,1,-30,0,150,800
8,8288,0,"[1,3]","[6281,9777]","",0,1,-30,0,150,800
9,8290,0,[2],"[6286,1650]","",10,1,10,0,150,800
10,8292,0,"[3,1]",[6300],"",0,1,-30,0,150,800
11,8293,0,"[1,3]","[6281,9777]","",0,1,-30,0,150,800
12,8294,0,[2],"[6286,1650]","",10,1,10,0,150,800
13,8295,0,"[3,1]",[6301],"",0,1,-30,0,150,800
14,8296,0,"[1,3]",[6281],"",0,1,-30,0,150,800
15,8339,0,"[3,1]","[6334,9777]","",0,1,-30,0,150,800
16,8341,0,[3],"[6335,9777]","",0,1,-30,0,150,800
17,8341,1,[1],[],"",0,1,-30,0,150,800
18,8343,0,"[1,3]","[6336,9777]","",0,1,-30,0,150,800
19,8345,0,"[1,3]","[6337,9777]","",0,1,-30,0,150,800
20,8347,0,[2],[6997],"",10,1,-15,0,150,800
21,8349,0,[2],[3962],"",10,1,10,0,150,800
22,8351,0,[2],[],8389,10,1,5,0,150,800
23,8353,0,"[3,1]","[6334,9777]","",0,1,-30,0,150,800
24,8354,0,[3],"[6335,9777]","",0,1,-30,0,150,800
25,8354,1,[1],[],"",0,1,-30,0,150,800
26,8355,0,"[1,3]","[6336,9777]","",0,1,-30,0,150,800
27,8356,0,"[1,3]","[6337,9777]","",0,1,-30,0,150,800
28,8358,0,[2],[6997],"",10,1,-15,0,150,800
29,8359,0,[2],[3962],"",10,1,10,0,150,800
30,8360,0,[2],[],8389,10,1,5,0,150,800
31,8361,0,[3],"[6335,9777]","",0,1,-30,0,150,800
32,8361,1,[1],[],"",0,1,-30,0,150,800
33,8363,0,"[1,3]","[6337,9777]","",0,1,-30,0,150,800
34,8365,0,"[3,1]",[6338],"",0,1,-15,0,150,800
35,8367,0,[2],[3962],"",10,1,10,0,150,800
36,8369,0,[3],"[6335,9777]","",0,1,-30,0,150,800
37,8369,1,[1],[],"",0,1,-30,0,150,800
38,8370,0,"[1,3]","[6337,9777]","",0,1,-30,0,150,800
39,8371,0,"[3,1]",[6338],"",0,1,-15,0,150,800
40,8372,0,[2],[3962],"",0,1,10,0,150,800
41,8373,0,"[3,1]",[6339],"",0,1,-30,0,150,800
42,8374,0,[2],[3963],"",10,1,10,0,150,800
43,8300,0,[2],[9787],"",0,1,0,0,150,800
44,8306,0,[1],[7013],"",0,1,0,0,150,800
45,8308,0,[1],[7013],"",0,1,0,0,150,800
46,8310,0,[1],[7013],"",0,1,0,0,150,800
47,8313,0,[1],[7013],"",0,1,0,0,150,800
48,8315,1,[2],[592],"",0,1,0,0,150,800
49,8318,0,[1],[7013],"",0,1,0,0,150,800
50,8337,0,[1],[7013],"",0,1,0,0,150,800
51,8303,0,[1],[7013],"",0,1,0,0,150,800
52,8304,0,[1],[7013],"",0,1,0,0,150,800
53,8319,0,[2],[8388],"",0,1,15,0,150,800
54,8320,0,[2],[8388],"",0,1,15,0,150,800
55,8321,0,[2],[8388],"",0,1,15,0,150,800
56,8323,0,[2],[8386],"",0,1,15,0,150,800
57,8325,0,[2],[8386],"",0,1,15,0,150,800
58,8326,0,[2],[8386],"",0,1,15,0,150,800
59,8328,0,[2],[],"",0,1,0,0,150,800
60,8329,0,[2],[],"",0,1,0,0,150,800
61,8330,0,[2],[],"",0,1,0,0,150,800
62,8332,0,[2],[6369],"",5,1,-30,0,150,800
63,8333,0,[2],[6369],"",5,1,-30,0,150,800
64,8334,0,[2],[6369],"",5,1,-30,0,150,800
65,8385,0,[3],[],"",0,1,0,1,150,800
66,8388,0,[1],[],"",0,1,0,1,150,800
67,8389,0,[1],[],"",0,1,0,1,150,800
68,8392,0,[2],[6354],"",0,1,-30,0,150,800
69,8394,0,[2],[7008],"",0,1,-30,0,150,800
