"rownum","string","string","rid","string","rid","rid"
0,"Cellar_Explore_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_explore_1_1.arm",0,"teleport1disabled telepad2",0,""
1,"Cellar_Arena_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_arena_1_1.arm",1,"teleport1disabled telepad2",0,""
2,"Cellar_Arena_2_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_arena_2_1.arm",1,"teleport1disabled telepad2",0,""
3,"Cellar_Lair_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_lair_1_1.arm",2,"teleport1disabled telepad2",0,""
4,"Cellar_Lair_2_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_lair_2_1.arm",2,"teleport1disabled telepad2",0,""
5,"Cellar_Lair_3_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_lair_3_1.arm",2,"teleport1disabled telepad2",0,""
6,"Cellar_Gauntlet_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_gauntlet_1_1.arm",4,"teleport1disabled telepad2",0,""
7,"Cellar_Miniboss_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_miniboss_1_1.arm",5,"teleport1disabled telepad2",0,""
8,"Cellar_Boss_1_1","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/encounter_boss_1_1.arm",8,"teleport1disabled telepad2",0,""
9,"Cellar_Reward_Merchant","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_merchant_01.arm",9,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
10,"Cellar_Reward_Deal","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_deal_01.arm",11,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
11,"Cellar_Reward_Fountain","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_fountain_01.arm",10,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
12,"Cellar_Reward_CurseFountain","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_cursefountain_01.arm",13,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
13,"Cellar_Reward_BoonFountain","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_boonfountain_01.arm",14,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
14,"Cellar_Reward_RainbowFountain","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_rainbowfountain_01.arm",15,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
15,"Cellar_Reward_Deferral","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_deferral_01.arm",12,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
16,"Cellar_Reward_Treasure","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_gold_01.arm",16,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
17,"Cellar_Reward_TreasureMinor","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_gold_02.arm",17,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
18,"Cellar_Reward_Final","Metadata/Terrain/Leagues/Sanctum/Cellar/Rooms/Reward/reward_final_01.arm",18,"telepad1 link subareatype=SanctumAirlock teleport2disabled sideentrance",0,""
19,"Vaults_Arena_1_1","Metadata/Terrain/Leagues/Sanctum/Vaults/Rooms/encounter_arena_1_1.arm",1,"teleport1disabled telepad2",1,""
20,"Vaults_Explore_1_1","Metadata/Terrain/Leagues/Sanctum/Vaults/Rooms/encounter_explore_1_1.arm",0,"teleport1disabled telepad2",1,""
