"rownum","rid","rid","[i32]","row"
0,0,0,[5928],24
1,1,0,[5929],24
2,2,0,[5927],24
3,4,0,[5954],24
4,3,0,[5930],24
5,5,0,[5931],24
6,6,0,[5932],24
7,7,0,[5951],24
8,8,0,[5950],24
9,9,0,[5952],24
10,10,0,[5933],24
11,11,0,[5934],24
12,12,0,[5935],24
13,13,0,[5936],24
14,14,0,[5937],24
15,15,0,[5938],24
16,16,0,[5939],24
17,17,0,[5940],24
18,18,0,[5941],24
19,19,0,[5942],24
20,20,0,[5943],24
21,21,0,[5944],24
22,22,0,[5945],24
23,23,0,[5946],24
24,24,0,[5947],24
25,25,0,[5948],24
26,26,0,[5949],24
27,27,0,[5953],24
28,4,1,[7011],24
29,19,1,[7017],24
30,1,1,[7018],24
31,24,1,[7019],24
32,3,1,[7020],24
33,27,1,[7021],24
34,2,1,[7022],24
35,0,1,[7023],24
36,6,1,[7024],24
37,4,2,[11728],24
38,24,2,[11737],24
39,27,2,[11741],24
40,0,2,[11744],24
41,1,2,[11736],24
42,3,2,[11738],24
43,2,2,[11742],24
44,6,2,[11740],24
45,4,3,[12601],24
46,1,3,[12607],24
47,24,3,[12608],24
48,3,3,[12609],24
49,27,3,[12611],24
50,2,3,[12612],24
51,0,3,[12613],24
52,6,3,[12610],24
53,4,4,[13139],24
54,0,4,[13151],24
55,1,4,[13145],24
56,3,4,[13147],24
57,2,4,[13150],24
58,7,4,[13148],24
59,24,4,[13146],24
60,27,4,[13149],24
61,4,5,[13845],24
62,1,5,[13848],24
63,3,5,[13850],24
64,5,5,[13851],24
65,6,5,[13856],24
66,27,5,[13852],24
67,23,5,[13849],24
68,2,5,[13854],24
69,0,5,[13855],24
70,28,5,[13853],24
71,29,5,[13853],24
72,31,6,[13853],24
