"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3628,[8756],"[8757,8933,8932,8937]","[8758,8849,8934,8936]",10,100,1000,"",140,[],[]
1,3629,[8759],"[8760,8933,8932,8937]","[8761,8847,8934,8936]",6,100,2500,"",140,[],[]
2,3630,[8762],"[8763,8933,8932,8937]","[8764,8849,8934,8936]",10,100,1000,3092,140,[],[]
3,3631,[8765],"[8766,8933,8932,8937]","[8767,8849,8934,8936]",10,100,1000,"",140,[],[]
4,3632,[8794],"[8795,8933,8932,8937]","[8796,8850,8934,8936]",30,100,500,"",140,[],[]
5,3633,[8807],"[8808,8933,8932,8937]","[8809,8849,8934,8936]",15,100,1000,"",8,[],[]
6,3634,"[8774,8775]","[8776,8933,8932,8937]","[8777,8849,8934,8936]",15,100,1000,1886,140,[],[]
7,3635,[8800],"[8801,8933,8932,8937]","[8802,8849,8934,8936]",6,100,1000,"",140,[],[]
8,3636,[8768],"[8769,8933,8932,8937]","[8770,8849,8934,8936]",20,100,1000,"",140,[],[]
9,3637,[8771],"[8772,8933,8932,8937]","[8773,8850,8934,8936]",30,100,500,280,140,[],[]
10,3638,[8778],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,2500,"",140,[],[]
11,3639,[8781],"[8782,8933,8932,8937]","[8783,8847,8784,8934,8936]",1,100,2500,"",140,[],[]
12,3640,[],"[8785,8933,8932,8937]","[8786,8850,8934,8936]",60,100,1,"",140,[],[]
13,3641,[8787],"[8788,8933,8932,8937]","[8789,8850,8934,8936]",60,100,500,"",140,[],[]
14,3642,[8791],"[8792,8933,8932,8937]","[8793,8847,8934,8936]",1,100,2500,"",140,[],[]
15,3643,[8797],"[8798,8933,8932,8937]","[8799,8847,8934,8936]",6,100,2500,"",140,[],[]
16,3644,"[8803,8804]","[8805,8933,8932,8937]","[8806,8849,8934,8936]",20,100,1000,45,140,[],[]
17,3645,[8810],"[8811,8933,8932,8937]","[8812,8850,8934,8936]",40,100,500,"",10,[],[]
18,3646,[8816],"[8817,8933,8932,8937]","[8818,8849,8934,8936]",20,100,1000,"",140,[],[]
19,3647,[8819],"[8820,8933,8932,8937]","[8821,8847,8934,8936]",1,100,2500,"",140,[],[]
20,3648,[8823],"[8824,8933,8932,8937]","[8825,8849,8934,8936]",10,100,1000,"",140,[],[]
21,3649,[8826],"[8828,8933,8932,8937]","[8829,8827,8850,8934,8936]",40,100,500,"",140,[],[]
22,3652,[8830],"[8831,8933,8932,8937]","[8846,8832,8850,8934,8936]",1,100,0,"",140,[],[]
23,3650,[8833],"[8834,8933,8932,8937]","[8835,8848,8935,8936]",1,100,0,"",140,[],[]
24,3651,[8836],"[8837,8933,8932,8937]","[8838,8848,8935,8936]",1,100,0,"",140,[],[]
25,3653,[8839],"[8840,8933,8932,8937]","[8841,8847,8934,8936]",1,100,0,"",140,[],[]
26,3654,[8839],"[8840,8933,8932,8937]","[8842,8847,8934,8936]",1,100,0,"",140,[],[]
27,3655,[8839],"[8840,8933,8932,8937]","[8843,8847,8934,8936]",1,100,0,"",140,[],[]
28,3656,[8839],"[8840,8933,8932,8937]","[8844,8847,8934,8936]",1,100,0,"",140,[],[]
29,3657,[8839],"[8840,8933,8932,8937]","[8845,8847,8934,8936]",1,100,0,"",140,[],[]
30,3658,[19914],"[19915,8933,8932,8937]","[19916,8850,8934,8936]",68,100,0,3874,140,[],[]
31,3659,[19911],"[19912,8933,8932,8937]","[19913,8850,8934,8936]",68,100,0,"",140,[],[]
32,3660,[19917],"[19918,8933,8932,8937]","[19919,8850,8934,8936]",68,100,0,"",140,[],[]
33,7334,[],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,0,"",140,[],[]
34,7335,[],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,0,"",140,[],[]
35,7336,[],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,0,"",140,[],[]
36,7337,[],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,0,"",140,[],[]
37,7338,[],"[8779,8933,8932,8937]","[8780,8847,8934,8936]",1,100,0,"",140,[],[]
