"rownum","HideoutNPCsKey","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","[rid]","i32","i32","rid","AddEnchantment","SortCategory","rid","bool","i32","rid","rid","rid"
0,4,0,"",[21],[1],0,"Two Sockets",7,[],0,"",2,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9024],1308,1308,"","",3,"","",0,"","",""
1,4,1,"",[21],[3],0,"Three Sockets",7,[],0,"",3,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9024],1308,1308,"","",3,"","",0,"","",""
2,4,2,"",[21],[10],0,"Four Sockets",7,[],0,"",4,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9024],1308,1308,"","",3,"","",0,"","",""
3,4,3,"",[21],[70],0,"Five Sockets",7,[],0,"",5,0,[],"","","",[237],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9024],1308,1308,"","",3,"","",0,"","",""
4,4,4,"",[21],[350],0,"Six Sockets",7,[],0,"",6,0,[],"","","",[238],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9024],1308,1308,"","",3,"","",0,"","",""
5,4,5,"",[20],[1],0,"Two Linked Sockets",7,[],2,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9023],1308,1308,"","",3,"","",0,"","",""
6,4,6,"",[20],[3],0,"Three Linked Sockets",7,[],3,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9023],1308,1308,"","",3,"","",0,"","",""
7,4,7,"",[20],[5],0,"Four Linked Sockets",7,[],4,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9023],1308,1308,"","",3,"","",0,"","",""
8,4,8,"",[20],[150],0,"Five Linked Sockets",7,[],5,"",0,0,[],"","","",[242],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9023],1308,1308,"","",3,"","",0,"","",""
9,4,9,"",[20],[1500],0,"Six Linked Sockets",7,[],6,"",0,0,[],"","","",[243],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9023],1308,1308,"","",3,"","",0,"","",""
10,4,10,"",[19],[4],0,"At Least One Red Socket",7,[],0,"R",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
11,4,11,"",[19],[25],0,"At Least Two Red Sockets",7,[],0,"RR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
12,4,12,"",[19],[120],0,"At Least Three Red Sockets",7,[],0,"RRR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
13,4,13,"",[19],[4],0,"At Least One Green Socket",7,[],0,"G",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
14,4,14,"",[19],[25],0,"At Least Two Green Sockets",7,[],0,"GG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
15,4,15,"",[19],[120],0,"At Least Three Green Sockets",7,[],0,"GGG",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
16,4,16,"",[19],[4],0,"At Least One Blue Socket",7,[],0,"B",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
17,4,17,"",[19],[25],0,"At Least Two Blue Sockets",7,[],0,"BB",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[9022],1308,1308,"","",3,"","",0,"","",""
