"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,9370,"",0
1,9371,"",0
2,9372,"",0
3,9373,"",0
4,9408,"",2
5,9409,"",3
6,9410,"",4
7,9411,"",5
8,9412,"",2
9,9413,"",3
10,9414,"",4
11,9415,"",5
12,9416,0,2
13,9417,0,3
14,9418,0,4
15,9419,0,5
16,9420,1,2
17,9421,1,3
18,9422,1,4
19,9423,1,5
20,9424,2,2
21,9425,2,3
22,9426,2,4
23,9427,2,5
24,9428,3,2
25,9429,3,3
26,9430,3,4
27,9431,3,5
28,9432,4,2
29,9433,4,3
30,9434,4,4
31,9435,4,5
32,9436,5,2
33,9437,5,3
34,9438,5,4
35,9439,5,5
36,9440,6,2
37,9441,6,3
38,9442,6,4
39,9443,6,5
40,9444,7,2
41,9445,7,3
42,9446,7,4
43,9447,7,5
44,9448,8,2
45,9449,8,3
46,9450,8,4
47,9451,8,5
48,9452,"",2
49,9453,"",3
50,9454,"",4
51,9455,"",5
52,9456,"",2
53,9457,"",3
54,9458,"",4
55,9459,"",5
56,9460,"",2
57,9461,"",3
58,9462,"",4
59,9463,"",5
