"rownum","i32","i32","i32","rid"
0,1,1,0,4701
1,1,2,0,4702
2,1,3,0,4703
3,1,4,0,4704
4,2,1,0,4705
5,2,2,0,4706
6,2,3,0,4707
7,2,4,0,4708
8,3,1,0,4711
9,3,2,0,4709
10,3,3,0,4710
11,4,1,0,4712
12,1,1,1,4735
13,1,2,1,4736
14,1,3,1,4737
15,1,4,1,4738
16,2,1,1,4739
17,2,2,1,4740
18,2,3,1,4741
19,2,4,1,4742
20,3,1,1,4744
21,3,2,1,4743
22,4,1,1,4745
23,1,1,2,4713
24,1,2,2,4714
25,1,3,2,4715
26,1,4,2,4716
27,2,1,2,4717
28,2,2,2,4718
29,2,3,2,4719
30,2,4,2,4720
31,3,2,2,4721
32,3,1,2,4722
33,4,1,2,4723
34,1,1,3,4724
35,1,2,3,4725
36,1,3,3,4726
37,1,4,3,4727
38,2,1,3,4728
39,2,2,3,4729
40,2,3,3,4730
41,2,4,3,4731
42,3,2,3,4732
43,3,1,3,4733
44,4,1,3,4734
