"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","rid"
0,6863,1,"[1311,1312]",1,"",[],[],0,""
1,6862,1,"[1304,1305,1306,1307,1308,1309,1807]",0,2212,[],[],0,17326
2,7236,1,"[1316,1317,1318,1319]",0,2212,[],[],0,17327
3,9367,2,[1806],0,"",[],[],0,""
4,5023,2,[1218],0,"",[],[],0,""
5,5024,2,[1222],0,"",[],[],0,""
6,5025,2,[1220],0,"",[],[],0,""
7,5617,2,[1284],0,"",[],[],0,""
8,5026,2,[1221],0,"",[],[],0,""
9,5027,2,[1219],0,"",[],[],0,""
10,5079,2,[1223],0,"",[],[],0,""
11,5108,2,[1227],0,"",[],[],0,""
12,5083,2,[1228],0,"",[5086],[1],0,""
13,5084,2,[1224],0,"",[],[],15,""
14,10812,2,"[1316,1317,1318,1319]",0,"",[10850],[1],126,""
15,10813,2,"[1304,1305,1306,1307,1308,1309,1807]",0,"",[10849],[1],127,""
16,13953,2,[1405],0,"",[],[],0,""
17,13954,2,[1406],0,"",[],[],0,""
18,13955,2,[1416],0,"",[],[],0,""
19,14896,2,"[1955,1956,1957,1958]",0,14896,[],[],0,""
20,15534,3,"[2191,2192,2193,2194]",1,"",[],[],0,""
