"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]"
0,"ExtraBoss",4057,"",[],"",[]
1,"HardBoss",4457,"",[],"",[]
2,"Lieutenants1_Bull",4541,"",[],"",[]
3,"Lieutenants2_Bull",4544,650,"[500,667]","","[500,0]"
4,"Lieutenants1_Ranged",4539,"",[],"",[]
5,"Lieutenants2_Ranged",4542,650,"[500,667]","","[500,0]"
6,"Lieutenants1_Melee",4540,"",[],"",[]
7,"Lieutenants2_Melee",4543,650,"[500,667]","","[500,0]"
8,"PowerSymbols1_Physical","",538,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot",[]
9,"PowerSymbols1_Fire","",532,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot",[]
10,"PowerSymbols1_Cold","",534,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot",[]
11,"PowerSymbols1_Lightning","",536,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot",[]
12,"PowerSymbols2_Physical","",539,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot","[40,-50,500,0]"
13,"PowerSymbols2_Fire","",533,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot","[40,-50,500,0]"
14,"PowerSymbols2_Cold","",535,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot","[40,-50,500,0]"
15,"PowerSymbols2_Lightning","",537,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot","[40,-50,500,0]"
16,"ToggleStatuesNormal_Fire","",540,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
17,"ToggleStatuesNormal_Cold","",542,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
18,"ToggleStatuesNormal_Lightning","",544,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
19,"ToggleStatuesNormal_Fire2","",541,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[15,-20,10,500,0]"
20,"ToggleStatuesNormal_Cold2","",543,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[15,-20,10,500,0]"
21,"ToggleStatuesNormal_Lightning2","",545,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[15,-20,10,500,0]"
22,"ToggleStatuesCruel_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
23,"ToggleStatuesCruel_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
24,"ToggleStatuesCruel_Lightning","",544,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
25,"ToggleStatuesCruel_Fire2","",541,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
26,"ToggleStatuesCruel_Cold2","",543,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
27,"ToggleStatuesCruel_Lightning2","",545,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
28,"ToggleStatuesMerciless_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
29,"ToggleStatuesMerciless_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
