"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19822,0,11,100,1,6,1,1
1,19823,0,50,100,3,6,1,1
2,19874,0,11,100,1,6,1,1
3,19878,0,11,100,1,6,1,1
4,19879,0,11,100,1,6,1,1
5,19880,0,11,100,1,6,1,1
6,19881,0,11,100,1,6,1,1
7,19886,0,11,100,1,6,1,1
8,19889,150,11,100,1,3,1,1
9,19890,150,25,100,4,5,1,1
10,19891,75,68,100,6,7,1,1
11,19892,150,11,100,1,3,1,1
12,19893,150,25,100,4,5,1,1
13,19894,75,68,100,6,7,1,1
14,19895,150,11,100,1,3,1,1
15,19896,150,25,100,4,5,1,1
16,19897,75,68,100,6,7,1,1
17,19888,75,68,100,3,6,1,1
18,19898,150,40,100,1,3,1,1
19,19899,75,68,100,4,5,1,1
20,19887,37,68,100,6,7,1,1
21,19876,0,11,100,1,3,1,1
22,19900,0,25,100,4,5,1,1
23,19901,0,68,100,6,7,1,1
24,19902,0,68,100,6,7,1,1
25,19882,0,11,100,1,3,1,1
26,19903,0,25,100,4,5,1,1
27,19904,0,68,100,6,7,1,1
28,19877,150,11,100,1,3,1,1
29,19905,75,40,100,4,5,1,1
30,19906,37,68,100,6,7,1,1
31,19883,150,11,100,1,6,1,1
32,19884,75,68,100,4,7,1,1
33,19907,150,68,100,3,7,1,1
