"rownum","Id","LogoIntl","LogoTW"
0,"PathOfExile","Art/2DArt/Logos/POELogo.dds",""
1,"Ascendancy","Art/2DArt/Logos/POELogoAscendancy.dds",""
2,"AtlasOfWorlds","Art/2DArt/Logos/POELogoAtlas.dds","Art/2DArt/Logos/POELogoAtlasTW.dds"
3,"Awakening","Art/2DArt/Logos/POELogoAwakening.dds",""
4,"Betrayal","Art/2DArt/Logos/POELogoBetrayal.dds","Art/2DArt/Logos/POELogoBetrayal_TW.dds"
5,"Blight","Art/2DArt/Logos/POELogoBlight.dds","Art/2DArt/Logos/POELogoBlightTW.dds"
6,"ConquerorsOfTheAtlas","Art/2DArt/Logos/POELogoConquerorsOfTheAtlas.dds","Art/2DArt/Logos/POELogoConquerorsOfTheAtlasTW.dds"
7,"Crucible","Art/2DArt/Logos/POELogoCrucible.dds","Art/2DArt/Logos/POELogoCrucibleTW.dds"
8,"Delirium","Art/2DArt/Logos/POELogoDelirium.dds","Art/2DArt/Logos/POELogoDeliriumTW.dds"
9,"Delve","Art/2DArt/Logos/POELogoDelve.dds","Art/2DArt/Logos/POELogoDelve_TW.dds"
10,"EchoesoOfTheAtlas","Art/2DArt/Logos/POELogoEchoesoOfTheAtlas.dds","Art/2DArt/Logos/POELogoEchoesoOfTheAtlasTW.dds"
11,"Expedition","Art/2DArt/Logos/POELogoExpedition.dds","Art/2DArt/Logos/POELogoExpeditionTW.dds"
12,"Harvest","Art/2DArt/Logos/POELogoHarvest.dds","Art/2DArt/Logos/POELogoHarvestTW.dds"
13,"Heist","Art/2DArt/Logos/POELogoHeist.dds","Art/2DArt/Logos/POELogoHeistTW.dds"
14,"LakeOfKalandra","Art/2DArt/Logos/POELogoLakeOfKalandra.dds","Art/2DArt/Logos/POELogoLakeOfKalandraTW.dds"
15,"Legion","Art/2DArt/Logos/POELogoLegion.dds","Art/2DArt/Logos/POELogoLegionTW.dds"
16,"Oriath","Art/2DArt/Logos/POELogoOriath.dds",""
17,"Sanctum","Art/2DArt/Logos/POELogoSanctum.dds","Art/2DArt/Logos/POELogoSanctumTW.dds"
18,"SiegeOfTheAtlas","Art/2DArt/Logos/POELogoScarsOfTheAtlas.dds","Art/2DArt/Logos/POELogoScarsOfTheAtlasTW.dds"
19,"Scourge","Art/2DArt/Logos/POELogoScourge.dds","Art/2DArt/Logos/POELogoScourgeTW.dds"
20,"Sentinel","Art/2DArt/Logos/POELogoSentinel.dds","Art/2DArt/Logos/POELogoSentinelTW.dds"
21,"Synthesis","Art/2DArt/Logos/POELogoSynthesis.dds","Art/2DArt/Logos/POELogoSynthesisTW.dds"
22,"TheFallOfOriath","Art/2DArt/Logos/POELOGOTheFallOfOriath.dds","Art/2DArt/Logos/POELOGOTheFallOfOriath_TW.dds"
23,"Ultimatum","Art/2DArt/Logos/POELogoUltimatum.dds","Art/2DArt/Logos/POELogoUltimatumTW.dds"
24,"WarForTheAtlas","Art/2DArt/Logos/POELogoWarForTheAtlas.dds","Art/2DArt/Logos/POELogoWarForTheAtlas_TW.dds"
25,"Tencent","Art/2DArt/Logos/POELogoTencent.dds",""
