"rownum","string","[rid]","[i32]","string","string","rid","i32","bool","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]","i32","i32","i32","i32"
0,"NULL",[],[],"","",11,0,"",-16843010,-16843010,"","","","","",0,5,0,"",[],[],-16843010,-16843010,5,0
1,"AfflictionMonsterDamage",[16067],[25],"Honed Claws","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClawsIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","Monsters deal 25% more Damage","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
2,"BoonMonsterDamage",[16066],[-40],"Fright Mask","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMaskIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 40% less Damage","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
3,"AfflictionLethalTraps",[17583],[1],"Deadly Snare","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurityIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","Traps impact infinite Resolve","","",0,5,0,"",[9301],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
4,"AfflictionTrapSanctumDamage",[17005],[1],"Dark Pit","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPitIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","Traps impact 100% increased Resolve","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
5,"AfflictionLessGold",[17012],[-50],"Charred Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoin","","50% less Aureus coins found","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
6,"AfflictionLessDamage",[17013],[-25],"Blunt Sword","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSwordIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","You and your Minions deal 25% less Damage","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
7,"AfflictionTrapSpeed",[17004],[1],"Rapid Quicksand","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksandIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","Traps are faster","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
8,"AfflictionTrapVolatiles",[17006],[1],"Anomaly Attractor","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractorIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","Rooms spawn Volatile Anomalies","","",0,5,0,"",[9302],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
9,"BoonMovementSpeed",[5754],[60],"Hare Foot","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFootIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","60% increased Movement Speed","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
