"rownum","Id","EffectVirtualPath","PreloadGroupsKeys","i32","i32","i32"
0,"LegacyWaypointEffect","Metadata/Effects/Environment/waypoint/new/WaypointEffect",[],-938457162,1,1418994860
1,"Doodad","Metadata/MiscellaneousObjects/Doodad",[],706408584,1,606705012
2,"Stash","Metadata/MiscellaneousObjects/Stash",[],-1477282030,1,1182202488
3,"GuildStash","Metadata/MiscellaneousObjects/GuildStash",[],-97027105,1,-302795644
4,"DefaultWaypoint","Metadata/MiscellaneousObjects/Waypoint",[],552129418,1,608223434
5,"AreaTransition","Metadata/MiscellaneousObjects/AreaTransition",[],726109394,1,-503683403
6,"Shrine","Metadata/Shrines/Shrine",[],-1437128725,4,-1751575936
7,"Sector","Metadata/MiscellaneousObjects/Sector",[],942138868,4,802365645
8,"TutorialArrow","Metadata/MiscellaneousObjects/TutorialArrow",[],-1984325775,1,1095568763
9,"ColdSnap","Metadata/Effects/Spells/coldsnap/cold_snap",[],-391542522,4,1252310733
10,"DetonateDeadEffect","Metadata/Effects/Spells/detonate_dead/DetonateDead",[],-996249004,4,1602118706
11,"InfernalBlowExplode","Metadata/Effects/Spells/infernal_blow/InfernalBlowExplosion",[],567876608,3,1953903615
12,"Shatter","Metadata/Effects/Spells/shatter/Shatter",[],-1646981244,2,1917692696
13,"FrostWallSegment","Metadata/Effects/Spells/frostwall/FrostWall",[],1667146716,4,249790074
14,"BruteDeath","Metadata/Effects/Spells/monsters_effects/brute_death/BruteDeathExplosion",[],342351121,4,-387989023
15,"WorldItem","Metadata/MiscellaneousObjects/WorldItem",[],1418889786,1,-1300817318
16,"MapDeviceMaligaro","Metadata/QuestObjects/Act7/MaligaroOrrery",[45],-2010534045,4,674554795
17,"MapDeviceQuest","Metadata/MiscellaneousObjects/MapDevice",[45],561515709,4,-276986577
18,"MapDeviceButton","Metadata/MiscellaneousObjects/MapDeviceButton",[45],1077686931,4,422196907
19,"MapDeviceApparition","Metadata/MiscellaneousObjects/MapDeviceApparition",[45],934538695,4,433698104
20,"FireTrap","Metadata/MiscellaneousObjects/PyroTrap",[],-1597546555,4,-294193010
21,"CausticTrap","Metadata/MiscellaneousObjects/PyroCausticTrap",[],297988080,4,1854909549
22,"FireBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/fire",[],1665864013,3,-356763154
23,"IceBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/ice",[],-96936008,4,1276055392
24,"LightBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/light",[],-969764562,4,1111078196
25,"RootSpiderHole","Metadata/Effects/Spells/monsters_effects/act2/root_spider/emerge/Hole",[],-326478754,4,-1876164068
26,"SuicideExplodeDefault","Metadata/Effects/Spells/monsters_effects/gore_explode/gore_explode",[],1400497802,4,1849970150
27,"DominusBloodRainShield","Metadata/Effects/Spells/monsters_effects/act3/dominus/sheild/Shield",[],182667246,4,1981597075
28,"SuicideExplodeGibs","Metadata/Effects/Spells/monsters_effects/gore_explode/gore_explode_gibs",[],1369345873,4,-1450973382
