"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1320,1,"","",112,108,49,"",""
1,326,"[341,325]",1321,2,"","",606,110,49,"",""
2,339,"[24,226,338]",1317,3,"",242,1308,11,49,1,""
3,334,"[329,332]",1322,4,"","",68,111,49,"",76
4,337,[335],1323,5,"","",592,118,49,"",87
5,393,"[391,392]",1324,13,"","",372,122,49,"",""
6,397,[394],1325,14,"","",660,123,49,"",""
7,408,[406],1326,15,"","",353,106,49,"",15
8,507,[507],1327,21,"","",1092,"",49,1,""
9,516,[508],1328,22,"","",1093,"",49,1,""
10,517,[509],1329,23,"","",1094,"",49,1,""
11,518,[510],1330,24,"","",1095,"",49,1,""
12,526,"[524,525]",1331,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1332,0,"","",1163,73,49,1,""
