"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16147,24,[],"",""
1,16148,9019,[],"",""
2,16254,"",[445],"",""
3,16261,"",[448],"",""
4,16273,"",[],1,""
5,16274,"",[],2,""
6,16275,"",[],4,""
7,16276,"",[],12,""
8,16277,"",[],9,""
9,16278,"",[],10,""
10,16279,"",[],24,""
11,16336,11,[],"",""
12,16337,10,[],"",""
13,16338,16271,[],"",""
14,16339,1749,[],"",""
15,16340,7637,[],"",""
16,16260,"",[],"",1
17,16266,"",[],"",8
18,16267,"",[],"",2
19,16303,"",[],"",3
20,16304,"",[],"",4
21,16305,"",[],"",5
22,16306,"",[],"",6
23,16307,"",[],"",7
24,16308,"",[],"",9
25,16309,"",[],"",10
26,16310,"",[],"",12
27,16311,"",[],"",13
28,16312,"",[],"",14
29,16313,"",[],"",15
30,16314,"",[],"",16
31,16315,"",[],"",17
32,16316,"",[],"",18
33,16317,"",[],"",19
34,16318,"",[],"",20
35,16319,"",[],"",21
36,16320,"",[],"",22
37,16321,"",[],"",23
38,16322,"",[],"",24
39,16424,2397,[],"",""
