"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32","i32","bool","rid"
0,"UltimatumRecoveryDebuff1",1753,"[-30,-30,-30]",0,[],[],"",0,1,[],1,0,"",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1754,"[-50,-50]",0,[],[],"",0,1,[],1,0,"",""
2,"UltimatumBuffsExpireFaster",1755,[200],0,[],[],"",0,1,[],1,0,"",""
3,"UltimatumCooldownSpeedDebuff",1756,[-80],0,[],[],"",0,1,[],1,0,"",""
4,"UltimatumVulnerabilityDebuff",1749,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"",""
5,"UltimatumMonsterSpeedBuff",1760,"[50,50,50]",0,[],"[-100,5,0]","",0,1,[],1,0,"",""
6,"Unhinged",1673,[],0,[],[],"",0,1,[],1,0,"",""
7,"PainSuppression",1765,"[0,0,0]",0,[],[],"",0,1,"[13914,13846,13999]",1,0,"",""
8,"PlayerDebuffExtraCriticalRolls",1779,[-1],0,[],[],"",0,1,[],1,0,"",""
9,"PlayerDebuffHinderedMsOnFlaskUse",1780,[4000],0,[],[],"",0,1,[],1,0,"",""
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1781,[1],0,[],[],"",0,1,[],1,0,"",""
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1782,"[1,1]",0,[],[],"",0,1,[],1,0,"",""
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1783,[1000],0,[],[],"",0,1,[],1,0,"",""
13,"PlayerDebuffRandomProjectileDirection",1784,[1],0,[],[],"",0,1,[],1,0,"",""
14,"UltimatumFrostInfection",342,[],1,[9],[],1537,0,1,[],1,0,"",""
15,"PlayerDebuffAurasAlsoAffectEnemies",1786,[1],0,[],[],"",0,1,[],1,0,"",""
16,"ScionMovementSpeed",483,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
17,"OccultistWitherNearbyEnemies",1220,[15000],0,[],[],"",0,1,[],1,0,"",""
18,"ScionAuguryOfPenitence",564,[10],60,[3],[],"",0,1,[],1,0,"",""
19,"OccultistPowerChargeOnManaSpent",913,[],0,[],[],"",0,1,[],1,0,"",""
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",612,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"",""
21,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",612,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"",""
22,"ChampionMovementSpeed",482,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
23,"JuggernautPhysDamagePreventedAsLifeRegen",1054,[],0,[],[],"",0,1,[],1,0,"",""
24,"OccultistFreezeNearbyChilledEnemies",1221,"[600,600]",0,[],[],"",0,1,[],1,0,"",""
25,"OccultistNearbyEnemiesChilled",1480,[],60,[3],[1],"",0,1,[],1,0,"",""
26,"ChampionFortify",1892,[],0,[],[],"",0,1,[],20,0,"",""
27,"ChampionFortifyHardMode",1892,[],0,[],[],"",0,1,[],10,0,"",""
28,"PendulumOfDestruction",1035,[],0,[],[],"",0,1,[],1,0,"",""
29,"ChieftanPhysicalAsFireCycle",1041,[100],0,[],[],"",0,1,[],1,0,"",""
30,"ChampionDamageAgainstImpaled",1225,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"",""
31,"SaboteurBlind",1480,[],35,[3],[9],"",0,1,[],1,0,"",""
32,"AuguryOfPenitence",563,"[16,-8]",60,[3],[],"",0,1,[],1,0,"",""
33,"AuguryOfPenitenceHardMode",563,"[8,-8]",60,[3],[],"",0,1,[],1,0,"",""
34,"OccultistNearbyChilledEnemiesReducedHitDamage",1223,[-10],60,[3],[],"",0,1,[],1,0,"",""
35,"OccultistNearbyHinderedEnemiesReducedDotDamage",1224,[-15],60,[3],[],"",0,1,[],1,0,"",""
36,"SlayerCritMultiplier",1311,[-30],60,[3],[],"",0,1,[],1,0,"",""
37,"GuardianDamageSpeedAreaIntimidate",1329,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"",""
38,"HardModeGuardianIntimidateUnnerve",1329,"[0,0,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"",""
39,"AfflictionNearbyEnemiesChilled",1480,[],30,[3],[1],"",0,1,[],1,0,"",""
40,"AfflictionNearbyEnemiesFireExposure",1480,[],30,[3],"[3,-10]","",0,1,[],1,0,"",""
41,"ReplenishingPresenceLifeRegenAura",1523,[60],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
42,"DeadeyeTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
43,"ScionTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
44,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1799,[],0,[],"[8000,2000]","",0,1,[],1,0,"",""
45,"UltimatumLoseChargesEverySecond",1800,[],0,[],[1000],"",0,1,[],1,0,"",""
46,"UltimatumAltarProtection",1803,[],22,"[3,10]",[],1552,0,1,[],1,0,"",""
47,"UltimatumRecoveryDebuff2",1753,"[-60,-60,-60]",0,[],[],"",0,1,[],1,0,"",""
48,"WitherNearbyEnemiesRoyale",1220,[5000],0,[],[],"",0,1,[],1,0,"",""
49,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1783,[50],0,[],[],"",0,1,[],1,0,"",""
50,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1783,[200],0,[],[],"",0,1,[],1,0,"",""
51,"AuguryOfPenitenceRoyale",563,"[10,-5]",30,[3],[],"",0,1,[],1,0,"",""
52,"NearbyEnemiesChilledRoyale",1480,[],20,[3],[1],"",0,1,[],1,0,"",""
53,"MonsterAuraPhysicalThorns1",81,[0],36,"[1,2]",[],"",0,1,[564],1,0,"",""
54,"MonsterAuraElementalThorns1",82,[0],36,"[1,2]",[],"",0,1,[565],1,0,"",""
55,"MonsterAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
56,"MonsterAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
57,"MonsterAuraLargeDamageUniqueMap",86,[0],50,[2],[],"",0,1,[26],1,0,"",""
58,"MonsterAuraSpeed1",87,"[0,0,0]",50,"[1,2]",[],"",0,1,"[70,216,177]",1,0,"",""
59,"StrIntMissionAuraSpeed1",87,"[0,0,0]",30,[2],[],"",0,1,"[70,216,177]",1,0,"",""
60,"MonsterAuraSpeedUniqueMap1",87,"[0,0,0]",50,[2],[],"",0,1,"[70,216,177]",1,0,"",""
61,"MonsterAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451],1,0,"",""
