"rownum","Id","Monster","Tier","i32","[i32]","Achievements","SeedAnimation","i32","HatchAnimation","SeedType"
0,"DropBearT1Red",8008,1,2,"[110,150,175]",[7020],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
1,"HellionT1Red",8010,1,1,"[110,150,175]",[7021],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
2,"WolfT1Red",8013,1,2,"[110,150,175]",[7022],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
3,"MonkeyT1Red",8015,1,2,"[110,150,175]",[7023],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
4,"InsectT1Red",8017,1,2,"[110,150,175]",[7024],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
5,"BeastT2Red",8019,2,1,"[110,150,175]",[7055],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
6,"HoundT2Red",8021,2,1,"[110,150,175]",[7056],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
7,"MinerHammerT2Red",8024,2,1,"[110,150,175]",[7057],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
8,"ChieftainT2Red",8026,2,1,"[110,150,175]",[7058],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
9,"SpikerT2Red",8029,2,1,"[110,150,175]",[7059],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
