"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3049,"[3,5,5]"
12,1231,2,1,"",3050,"[0,11,11]"
13,1232,2,2,"",3051,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3052,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3053,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3054,"[4,7,7]"
21,3013,1,0,11,3055,"[2,3]"
22,3014,1,1,11,3056,"[3,5]"
23,3015,1,2,11,3057,"[3,7]"
24,3016,0,0,21,3058,[1]
25,3017,0,0,22,3059,[2]
26,3018,0,0,23,3060,[3]
27,3019,1,0,12,3061,"[5,9]"
28,3020,1,1,12,3062,"[5,11]"
29,3021,1,2,12,3063,"[0,1]"
30,3022,0,0,27,3064,[4]
31,3023,0,0,28,3065,[5]
32,3024,0,0,29,3066,[0]
33,3025,1,0,13,3067,"[1,1]"
34,3026,1,1,13,3068,"[2,3]"
35,3027,1,2,13,3069,"[3,5]"
36,3028,0,0,33,3070,[0]
37,3029,0,0,34,3071,[1]
38,3030,0,0,35,3072,[2]
39,3031,1,0,15,3073,"[5,11]"
40,3032,1,1,15,3074,"[1,1]"
41,3033,1,2,15,3075,"[2,3]"
42,3034,0,0,39,3076,[5]
43,3035,0,0,40,3077,[0]
44,3036,0,0,41,3078,[1]
45,3037,1,0,17,3079,"[4,7]"
46,3038,1,1,17,3080,"[5,9]"
47,3039,1,2,17,3081,"[5,11]"
48,3040,0,0,45,3082,[3]
49,3041,0,0,46,3083,[4]
50,3042,0,0,47,3084,[5]
51,3043,1,0,20,3085,"[3,5]"
52,3044,1,1,20,3086,"[4,7]"
53,3045,1,2,20,3087,"[5,9]"
54,3046,0,0,51,3088,[2]
55,3047,0,0,52,3089,[3]
56,3048,0,0,53,3090,[4]
