"rownum","Buff","[rid]","i32"
0,"global_auras",[473],-1
1,"global_auras",[467],-2
2,"global_auras",[469],-3
3,"global_auras",[471],-4
4,"global_auras",[167],-5
5,"global_auras",[148],-6
6,"global_auras",[154],-7
7,"global_auras",[158],-8
8,"global_auras",[150],-9
9,"global_auras",[957],-10
10,"global_auras",[963],-11
11,"global_auras",[968],-12
12,"global_auras",[985],-13
13,"global_auras",[991],-14
14,"global_auras",[996],-15
15,"global_auras",[1008],-16
16,"global_auras",[1009],-17
17,"global_auras",[1010],-18
18,"global_auras",[1018],-19
19,"global_auras",[1017],-20
20,"global_auras",[1055],-21
21,"global_auras",[1056],-22
22,"global_auras",[1057],-23
23,"global_auras",[1075],-24
24,"global_auras",[1077],-25
25,"global_auras",[1078],-26
26,"global_auras",[1079],-27
27,"global_auras",[1145],-28
28,"global_auras",[1150],-29
29,"global_auras",[1148],-30
30,"global_auras",[1151],-31
31,"global_auras",[1155],-32
32,"global_auras",[1156],-33
33,"global_auras",[1203],-34
34,"global_auras",[1206],-35
35,"global_auras",[1209],-36
36,"global_auras",[1233],-37
37,"global_auras",[1234],-38
38,"global_auras",[1301],-39
39,"global_auras",[1302],-40
40,"global_auras",[1326],-41
41,"global_auras",[1345],-42
42,"global_auras",[1346],-43
43,"global_auras",[1366],-44
44,"global_auras",[1371],-45
45,"global_auras",[1372],-46
46,"global_auras",[1373],-47
47,"global_auras",[1374],-48
48,"global_auras",[1415],-49
49,"global_auras",[1421],-50
50,"global_auras",[1422],-51
51,"global_auras",[1509],-52
52,"global_auras",[1510],-53
53,"global_auras",[1511],-54
54,"global_auras",[1512],-55
55,"global_auras",[1513],-56
56,"global_auras",[1514],-57
57,"global_auras",[1620],-58
58,"global_auras",[1621],-59
59,"global_auras",[1673],-60
60,"global_auras",[1674],-61
61,"global_auras",[1729],-62
62,"global_auras",[1741],-63
63,"global_auras",[1742],-64
64,"global_auras",[1743],-65
65,"global_auras",[1797],-66
66,"global_auras",[1798],-67
67,"global_auras",[1799],-68
68,"global_auras",[1800],-69
69,"global_auras",[1801],-70
70,"global_auras",[1921],-71
71,"global_auras",[1922],-72
72,"global_auras",[1923],-73
73,"anger",[149],0
74,"anger",[150],1
75,"anger",[151],2
76,"anger",[152],3
77,"hatred",[153],0
78,"hatred",[154],1
79,"hatred",[155],2
80,"hatred",[718],3
81,"hatred",[156],4
82,"wrath",[157],0
83,"wrath",[158],1
84,"wrath",[159],2
85,"wrath",[160],3
86,"haste",[162],0
87,"haste",[467],1
88,"haste",[163],2
89,"steelskin",[1035],0
90,"steelskin",[1484],1
91,"steelskin",[1036],2
92,"ignite",[2],0
93,"ignite",[372],1
94,"ignite",[466],2
95,"ignite",[373],3
96,"ignite",[374],4
97,"ignite",[375],5
98,"ignite",[376],6
99,"ignite",[1015],7
100,"ignite",[1095],8
101,"ignite",[1163],9
102,"ignite",[1353],10
103,"ignite",[1312],11
104,"ignite",[1354],12
105,"ignite",[1351],13
106,"ignite",[1455],14
107,"ignite",[1571],15
108,"ignite",[1579],16
109,"ignite",[1587],17
110,"ignite",[1588],18
111,"ignite",[1611],19
112,"ignite",[1664],20
113,"ignite",[1668],21
114,"ignite",[1669],22
115,"ignite",[1684],23
116,"ignite",[1734],24
117,"ignite",[1739],25
118,"ignite",[1793],26
119,"ignite",[1806],27
120,"ignite",[1818],28
121,"ignite",[1915],29
122,"scorch",[975],0
123,"scorch",[1818],1
124,"shock",[5],0
125,"shock",[220],1
126,"shock",[221],2
127,"shock",[222],3
128,"shock",[1096],4
129,"shock",[223],5
130,"shock",[1572],6
131,"shock",[1580],7
132,"shock",[1680],8
133,"shock",[1683],9
134,"shock",[1792],10
135,"shock",[1820],11
136,"shock",[1856],12
137,"shock",[1857],13
138,"shock",[1880],14
139,"shock",[1881],15
140,"shock",[1916],16
141,"shock",[1937],17
142,"sap",[977],0
143,"sap",[1820],1
144,"chill",[3],0
145,"chill",[1618],1
146,"chill",[1785],2
147,"chill",[1794],3
148,"chill",[1822],4
149,"chill",[1913],5
150,"freeze",[4],0
151,"freeze",[1619],1
152,"freeze",[1796],2
153,"freeze",[1819],3
154,"freeze",[1914],4
155,"brittle",[976],0
156,"brittle",[1822],1
157,"poison",[11],0
158,"poison",[1745],1
159,"poison",[1817],2
160,"poison",[1849],3
161,"poison",[1859],4
162,"poison",[1860],5
163,"bleed",[137],0
164,"bleed",[139],1
165,"bleed",[1542],2
166,"bleed",[1821],3
167,"bleed_moving",[138],0
168,"bleed_moving",[140],1
169,"bleed_moving",[1543],2
170,"bleed_moving",[1821],3
171,"fire_exposure",[1001],0
172,"cold_exposure",[1002],0
173,"lightning_exposure",[1003],0
174,"fire_exposure",[1573],1
175,"cold_exposure",[1574],1
176,"lightning_exposure",[1575],1
177,"fire_exposure",[1576],2
178,"cold_exposure",[1577],2
179,"lightning_exposure",[1578],2
180,"fire_exposure",[1917],3
181,"cold_exposure",[1918],3
182,"lightning_exposure",[1919],3
183,"infernal_blow_debuff",[877],0
184,"infernal_blow_debuff",[1589],1
185,"infernal_blow_debuff2",[878],0
186,"infernal_blow_debuff2",[1590],1
187,"infernal_blow_debuff3",[879],0
188,"infernal_blow_debuff3",[1591],1
189,"arcane_cloak",[1197],0
190,"arcane_cloak",[1592],1
191,"exsanguinate",[1500],0
192,"exsanguinate",[1593],1
193,"exsanguinate",[1711],2
194,"void_burst",[1594],0
195,"ambush_stealth",[1596],0
196,"cold_snap",[1599],4
197,"cold_snap",[1903],5
198,"cold_snap",[1905],6
199,"blood_rage",[13],0
200,"blood_rage",[1600],1
201,"lightning_strike_vaal_debuff",[862],0
202,"lightning_strike_vaal_debuff",[862],1
203,"lightning_strike_vaal_debuff",[1604],2
204,"lightning_strike_vaal_debuff",[1705],3
205,"lightning_strike_vaal_debuff",[1854],4
206,"lightning_strike",[1936],5
207,"herald_of_ash_buff",[902],-1
208,"herald_of_ash_buff",[324],0
209,"herald_of_ash_burning_buff",[173],0
210,"herald_of_ash_buff",[497],1
211,"herald_of_ash_burning_buff",[466],1
212,"herald_of_ash_buff",[496],2
213,"herald_of_ash_burning_buff",[173],2
214,"herald_of_ash_buff",[675],3
215,"herald_of_ash_burning_buff",[372],3
216,"herald_of_ash_buff",[679],4
217,"herald_of_ash_burning_buff",[173],4
218,"herald_of_ash_buff",[722],5
219,"herald_of_ash_burning_buff",[173],5
220,"herald_of_ash_buff",[808],6
