"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","bool","bool","bool","bool","rid"
0,"a1q1",0,2,1308,"","","","","","","","",""
1,"a1q5",1,41,1308,"","","","","","","","",""
2,"a1q5b",1,1877,1308,"","","","",1,"","","",""
3,"a1q4",2,36,1308,"","","","","","","","",""
4,"a1q4b",2,2148,1308,"","","","",1,"","","",""
5,"a1q8",3,"",1308,"","",1,"","","","","",""
6,"a1q7",4,"",1308,"","",1,"","","","","",""
7,"a1q2",5,6,1308,"","","","","","","","",""
8,"a1q2b",5,797,1308,"","","","","","","","",""
9,"a1q6",6,"",1308,"","",1,"","","","","",""
10,"a1q3",7,72,1308,"","","","","","","","",""
11,"a1q9",8,"",1308,"","",1,"","","","","",""
12,"a2q5",10,"",1308,"","",1,"","","","","",""
13,"a2q6",11,108,1308,"","","","","","","","",""
14,"a2q10",12,248,1308,"","","","","","","","",""
15,"a2q4",13,106,1308,"","","","","","","","",""
16,"a2q9b_tencent",14,2549,1308,"",1,"","",1,"","","",""
17,"a2q7",15,"",1308,"","",1,"","","","","",""
18,"a3q1",21,173,1308,"","","","","","","","",""
19,"a3q2",22,"",1308,"","",1,"","","","","",""
20,"a3q11",23,"",1308,"","",1,"","","","","",""
21,"a3q4",25,189,1308,"","","","","","","","",""
22,"a3q5",26,"",1308,"","",1,"","","","","",""
23,"a3q8",27,212,1308,"","","","","","","","",""
24,"a3q12",28,493,1308,"","","","","","","","",""
25,"a3q13",29,197,1308,"","","","","","","","",""
26,"a3q9",30,"",1308,"","",1,"","","","","",""
27,"d2c1",32,521,1308,"","","","","","","","",""
28,"d2c2",33,522,1308,"","","","","","","","",""
29,"a4q1",34,688,1308,"","","","","","","","",""
30,"a4q2",35,665,1308,"","","","","","","","",""
31,"a4q6",39,"",1308,"","",1,"","","","","",""
32,"a4q6b_tencent",39,2555,1308,"",1,"","",1,"","","",""
33,"bandit_respec",50,"",1308,3692,"",1,3697,"","","","",""
34,"a5q1b",63,1054,1308,"","","","","","","","",""
35,"a5q2",64,1062,1308,"","","","","","","","",""
36,"a5q3",65,"",1308,"","",1,"","","","","",""
37,"a5q4",66,1074,1308,"","","","","","","","",""
38,"a5q5",67,1080,1308,"","","","","","","","",""
39,"a5q7",69,"",1308,"","",1,"","","","","",""
40,"a6q2",71,1170,1308,"","","","","","","","",""
41,"a6q3",72,"",1308,"","",1,"","","","","",""
42,"a6q4",73,"",1308,"","",1,"","","","","",""
43,"a6q5",74,1253,1308,"","","","","","","","",""
44,"a6q6",75,"",1308,"","",1,"","","","","",""
45,"a6q7",76,"",1308,"","",1,"","","","","",""
46,"a7q1",77,"",1308,"","",1,"","","","","",""
47,"a7q2",78,1278,1308,"","","","","","","","",""
48,"a7q3",79,"",1308,"","",1,"","","","","",""
49,"a7q5",81,1308,1308,"","","","","","","","",""
50,"a7q6",82,"",1308,"","",1,"","","","","",""
51,"a7q8",84,1376,1308,"","","","","","","","",""
52,"a7q8_offer",84,"",1308,3692,"",1,3697,"","","","",""
53,"a7q9",85,"",1308,"","",1,"","","","","",""
54,"a8q1",86,1421,1308,"","","","","","","","",""
55,"a8q4",89,"",1308,"","",1,"","","","","",""
56,"a8q5",90,1441,1308,"","","","","","","","",""
57,"a8q6",91,"",1308,"","",1,"","","","","",""
58,"a8q7",92,"",1308,"","",1,"","","","","",""
59,"a9q2",94,"",1308,"","",1,"","","","","",""
60,"a9q3",95,1627,1308,"","","","","","","","",""
61,"a9q4",96,"",1308,"","",1,"","","","","",""
62,"a9q5",97,"",1308,"","",1,"","","","","",""
63,"a9q5_offer",97,"",1308,3692,"",1,3697,"","","","",""
64,"a10q1",98,1645,1308,"","","","","","","","",""
65,"a10q2",99,1652,1308,"","","","","","","","",""
66,"a10q3",100,"",1308,"","",1,"","","","","",""
67,"a10q4",101,"",1308,"","",1,"","","","","",""
68,"a10q5",102,1680,1308,"","","","","","","","",""
69,"a10q6",103,"",1308,"","",1,"","","","","",""
70,"atlas",175,"",216,"","","","","","","","",""
71,"heist_tutorial",127,"",1308,3692,"",1,3697,"","","","",""
72,"heist_quest_karst2",129,"",1308,3692,"",1,3697,"","","","",""
73,"heist_quest_karst3",130,"",1308,3692,"",1,3697,"","","","",""
74,"heist_quest_tibbs2",132,"",1308,3692,"",1,3697,"","","","",""
75,"heist_quest_tullina2",140,"",1308,3692,"",1,3697,"","","","",""
76,"heist_quest_faustus2",155,"",1308,3692,"",1,3697,"","","","",""
77,"heist_quest_kurai4",160,"",871,"","","","","","","","",""
78,"heist_quest_karst1",128,"",942,"","","","","","","","",""
79,"heist_quest_karst2_2",129,"",943,"","","","","","","","",""
80,"heist_quest_karst3_2",130,"",944,"","","","","","","","",""
81,"heist_quest_tibbs1",131,"",945,"","","","","","","","",""
82,"heist_quest_tibbs2_2",132,"",946,"","","","","","","","",""
83,"heist_quest_huck1",133,"",947,"","","","","","","","",""
84,"heist_quest_huck2",134,"",948,"","","","","","","","",""
85,"heist_quest_vinderi1",135,"",949,"","","","","","","","",""
86,"heist_quest_vinderi2",136,"",950,"","","","","","","","",""
87,"heist_quest_gianna1",137,"",951,"","","","","","","","",""
88,"heist_quest_gianna2",138,"",952,"","","","","","","","",""
89,"heist_quest_tullina1",139,"",953,"","","","","","","","",""
90,"heist_quest_tullina2_2",140,"",954,"","","","","","","","",""
91,"heist_quest_niles1",141,"",955,"","","","","","","","",""
92,"heist_quest_niles2",142,"",956,"","","","","","","","",""
93,"heist_quest_nenet1",143,"",957,"","","","","","","","",""
94,"heist_quest_nenet2",144,"",958,"","","","","","","","",""
95,"heist_quest_isla1",145,"",959,"","","","","","","","",""
96,"heist_quest_isla2",146,"",960,"","","","","","","","",""
97,"heist_quest_isla3",147,"",961,"","","","","","","","",""
98,"heist_quest_adiyah1",148,"",962,"","","","","","","","",""
99,"heist_quest_adiyah2",149,"",963,"","","","","","","","",""
100,"heist_quest_adiyah3",150,"",964,"","","","","","","","",""
101,"heist_quest_whakano1",151,"",965,"","","","","","","","",""
102,"heist_quest_whakano2",152,"",966,"","","","","","","","",""
103,"heist_quest_whakano3",153,"",967,"","","","","","","","",""
104,"heist_quest_faustus1",154,"",968,"","","","","","","","",""
105,"heist_quest_faustus2_2",155,"",969,"","","","","","","","",""
106,"heist_quest_faustus3",156,"",970,"","","","","","","","",""
107,"heist_quest_kurai1",157,"",971,"","","","","","","","",""
108,"heist_quest_kurai2",158,"",972,"","","","","","","","",""
109,"heist_quest_kurai3",159,"",973,"","","","","","","","",""
110,"hellscape_tutorial1",171,"",1308,3692,"",1,3697,"","","","",""
111,"voidstones",107,"",1308,3694,1,1,3697,"","","","",""
112,"maven",162,"",1308,"","",1,"","","","","",""
113,"uberelder",163,"",1308,"","",1,"","","","","",""
114,"tangle",164,"",1308,"","",1,"","","","","",""
115,"cleansing_fire",165,"",1308,"","",1,"","","","","",""
116,"tangle_infinite_hunger",164,"",1308,"","",1,"","","","","",""
117,"cleansing_fire_black_star",165,"",1308,"","",1,"","","","","",""
118,"sanctum_free_relic",184,"",1032,"","","","","","","","",""
