"rownum","MonsterVarietiesKey","[rid]","[i32]","Name"
0,1111,[717],[50],"Drowned"
1,1113,[717],[50],"Drowned"
2,1115,[717],[50],"Drowned"
3,4241,[717],[100],"Savage Crab"
4,4248,[717],[75],"Savage Crab"
5,4255,[717],[50],"Savage Crab"
6,6026,[717],[50],"Kelp Crab"
7,6027,[717],[100],"Shore Crab"
8,6028,[717],[50],"Coconut Crab"
9,6029,[717],[50],"Spider Crab"
10,472,[717],[100],"Gravel Eater"
11,2699,[717],[50],"Cannibal"
12,2696,[717],[50],"Cannibal"
13,2659,[717],[50],"Cannibal"
14,2664,[717],[50],"Cannibal"
15,2722,[717],[50],"Cannibal Fire-eater"
16,2662,[717],[50],"Fire Fury"
17,1148,[717],[50],"Dripping Dead"
18,1151,[717],[50],"Dripping Dead"
19,1154,[717],[50],"Dripping Dead"
20,416,[717],[50],"Rhoa Mare"
21,424,[],[],"Tercel Rhoa"
22,1142,[717],[50],"Dripping Dead"
23,1144,[717],[50],"Dripping Dead"
24,1146,[717],[50],"Dripping Dead"
25,1054,"[483,717]","[80,50]","Tide Strider"
26,429,[717],[50],"Oozeback Bloom"
27,886,[717],[100],"Cursed Spawn"
28,495,[717],[100],"Cave Crustacean"
29,915,[717],[150],"Broodling"
30,1071,"[483,717]","[80,50]","Cavern Strider"
31,641,[717],[50],"Ancient Bonestalker"
32,485,[],[],"Brood Princess"
33,651,[717],[50],"Rattling Bones"
34,519,[717],[50],"Ancient Archer"
35,2697,[717],[50],"Cannibal"
36,2660,[717],[50],"Cannibal"
37,2723,[717],[50],"Cannibal Fire-eater"
38,215,[717],[50],"Goatman"
39,1546,[717],[50],"Gluttonous Gull"
40,994,[],[],"Kuduku, the False God"
41,256,[717],[50],"Goatman Shaman"
42,532,[717],[50],"Burning Bowman"
43,5259,[717],[50],"Dreadwheel"
44,5261,[717],[50],"Dreadwheel"
45,516,[],[],"Ironpoint the Forsaken"
46,253,[],[],"The Faun"
47,394,[717],[25],"Necromancer"
48,514,"[1085,9549,717]","[20,10,50]","Chatters"
49,539,[717],[50],"Brittle Poacher"
50,649,[717],[50],"Brittle Thief"
51,1216,[717],[50],"Rotting Damned"
52,1218,[717],[50],"Rotting Damned"
53,1220,[717],[50],"Rotting Damned"
54,142,[],[],"Brutus, Lord Incarcerator"
55,398,[],[],"Sawbones"
56,403,[717],[25],"Diabolist"
57,546,[717],[50],"Brittle Bleeder"
58,579,[717],[50],"Axiom Frostguard"
59,623,[717],[50],"Axiom Thunderguard"
60,677,[717],[50],"Brittle Thief"
61,229,[484],[80],"Bearded Devil"
62,267,[717],[50],"Bearded Shaman"
63,313,[717],[50],"Flame Hellion"
64,153,"[484,717]","[50,50]","Spectral Corsair"
65,425,[717],[50],"Murk Runner"
66,509,[],[],"Captain Fairgraves"
67,906,[717],[100],"Slimy Bloodsucker"
68,1045,"[483,717]","[80,50]","Seething Brine"
69,167,"[484,717]","[50,50]","Cursed Mariner"
70,494,[717],[50],"Scrabbling Menace"
71,887,[717],[100],"Fathom Screamer"
72,1042,[483],[80],"Stranglecharm"
73,1061,"[483,717]","[80,50]","Seething Brine"
74,171,"[484,717]","[50,50]","Ashen Buccaneer"
75,174,"[484,717]","[50,50]","Spectral Bowman"
76,460,"[484,717]","[80,100]","Obsidian Eater"
77,479,[],[],"Amarissa, Daughter of Merveil"
78,488,[717],[50],"Singing Siren"
79,908,[717],[100],"Slimy Bloodsucker"
80,151,[],[],"Merveil, the Twisted"
81,477,[],[],"Ambrosia, Daughter of Merveil"
82,481,[717],[100],"Merveil's Daughter"
83,482,[717],[100],"Merveil's Attendant"
84,3452,[717],[50],"Resplendent Construct"
85,3453,[717],[50],"Resplendent Construct"
86,1,"[1085,9549,717]","[20,10,50]","Calaf, Headstaver"
87,339,[717],[100],"Blood Ape"
88,352,[717],[25],"Blood Chieftain"
89,874,"[485,717]","[30,50]","Bramble Cobra"
90,1528,[717],[100],"Carrion Swarmer"
91,5,[717],[50],"Kraityn's Scout"
92,119,[],[],"Hairy Bonecruncher"
93,356,[717],[25],"Carnage Chieftain"
94,364,[717],[100],"Carnage Ape"
95,376,[],[],"Gneiss"
96,378,[717],[25],"Ruined Titan"
97,840,[717],[50],"Scarecrow"
98,842,[717],[50],"Scarecrow"
99,844,[717],[50],"Scarecrow"
100,846,[717],[50],"Scarecrow"
101,848,[717],[50],"Scarecrow"
102,850,[717],[50],"Scarecrow"
103,3869,"[484,717]","[80,75]","Dirt Scrabbler"
104,105,[],[],"Cave Beast"
105,110,[],[],"The Great White Beast"
106,366,[717],[100],"Barrow Ape"
107,369,[717],[25],"Stalag Nightmare"
108,954,[717],[100],"Cave Skitterer"
109,6,[717],[50],"Kraityn's Scout"
110,57,"[1085,9549,717]","[20,10,50]","Kraityn's Aspirant"
111,118,[],[],"Bone Cruncher"
112,370,[717],[25],"Rumbling Mass"
113,371,[717],[25],"Hulking Titan"
114,537,[717],[50],"Brittle Archer"
115,699,[717],[50],"Brittle Farmer"
116,701,[717],[50],"Brittle Farmer"
117,703,[717],[50],"Brittle Farmer"
118,705,[717],[50],"Brittle Farmer"
119,707,[717],[50],"Brittle Farmer"
120,831,[],[],"Bravalo"
121,586,[717],[50],"Frost Priest"
122,590,[717],[50],"Frost Preacher"
123,614,[717],[50],"Flame Priest"
124,631,[717],[50],"Thunder Priest"
125,643,[717],[50],"Brittle Cleric"
126,950,[717],[50],"Crypt Weaver"
127,400,[717],[25],"Defiler"
128,506,"[1085,9549,717]","[20,10,50]","Archbishop Geofri the Abashed"
129,584,[717],[50],"Frost Bishop"
130,610,[717],[50],"Flame Bishop"
131,653,[717],[50],"Vault Guardian"
132,541,[717],[50],"Sin Archer"
133,916,[717],[50],"Black Death"
134,951,[717],[50],"Mutant Arach"
135,955,[717],[100],"Spindle Spider"
136,1201,[717],[50],"Sutured Aberration"
137,1203,[717],[50],"Sutured Aberration"
138,1205,[717],[50],"Sutured Aberration"
139,145,[],[],"Fidelitas, the Mourning"
140,405,[717],[25],"Sin Lord"
141,638,[717],[50],"Sparking Mage"
142,777,"[484,717]","[50,50]","Sparking Bones"
143,948,[717],[50],"Corrupted Arach"
144,9,[717],[50],"Oak's Sniper"
145,35,[717],[50],"Kraityn, Scarbearer"
146,54,"[1085,9549,717]","[20,10,50]","Kraityn's Thrall"
147,11,[717],[50],"Shadow Archer"
148,51,[717],[50],"Callow Thug"
149,52,"[1085,9549,717]","[20,10,50]","Shadow Stalker"
