"rownum","Id","BuffDDSFile","EPKFiles1","EPKFiles2","PreloadGroups","bool","BuffName","MiscAnimated1","MiscAnimated2","BuffDescription","EPKFile","HasExtraArt","ExtraArt","[i32]","EPKFiles","BuffVisualOrbs","MiscAnimated3","rid"
0,"invisible","","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","",[],[],[],"",""
1,"nobuff","",[],[],[],"","","","","","","","",[],[],[],"",""
2,"ignited","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/Spells/supports/aurafy/fire.epk"",""Metadata/Effects/Spells/supports/aurafy/fire.epk"",""Metadata/Effects/Spells/supports/aurafy/large_fire.epk""]",[],1,"","","","","Metadata/Effects/StatusAilments/Ignited_player.epk","","",[],[],[],"",""
3,"chilled","Art/2DArt/BuffIcons/buffchilled.dds","[""Metadata/Effects/StatusAilments/Chilled.epk""]","[""Metadata/Effects/Spells/supports/aurafy/chilled.epk""]",[],1,"","","","","Metadata/Effects/StatusAilments/Chilled_player.epk","","",[],[],[],"",""
4,"frozen","Art/2DArt/BuffIcons/bufffrozen.dds","[""Metadata/Effects/StatusAilments/Frozen.epk""]","[""Metadata/Effects/Spells/supports/aurafy/ice.epk""]",[],1,"","","","","Metadata/Effects/StatusAilments/Frozen_player.epk","","",[],[],[],"",""
5,"shocked","Art/2DArt/BuffIcons/buffshocked.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]","[""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/large_light.epk""]",[],1,"","","","","Metadata/Effects/StatusAilments/shocked_player.epk","","",[],[],[],"",""
6,"arc_trap","Art/2DArt/BuffIcons/ArcTrap.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]","[""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/light.epk"",""Metadata/Effects/Spells/supports/aurafy/large_light.epk""]",[],"","","","","","","","",[],[],[],"",""
7,"sprinting","Art/2DArt/SkillIcons/iconsprint.dds",[],[],[],"","","","","","","","",[],[],[],"",""
8,"grace_period","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","",[],[],[],"",""
9,"god_mode","Art/2DArt/BuffIcons/invulnerability.dds",[],[],[],"","","","","","","","",[],[],[],"",""
10,"experience","Art/2DArt/SkillIcons/iconbash.dds",[],[],[],"","","","","","","","",[],[],[],"",""
11,"poison","Art/2DArt/SkillIcons/iconpoisoned.dds","[""Metadata/Effects/StatusAilments/poisoned_02.epk"",""Metadata/Effects/StatusAilments/poisoned_02.epk"",""Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned_02.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned_02.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","Metadata/Effects/StatusAilments/poisoned_player.epk","","",[],[],[],"",""
12,"caustic_cloud","Art/2DArt/BuffIcons/CausticCloud.dds","[""Metadata/Effects/StatusAilments/poisoned.epk"",""Metadata/Effects/StatusAilments/poisoned.epk"",""Metadata/Effects/StatusAilments/monsters/mid_monsters/poisoned.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/poisoned.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],1,"","","","","","","",[],[],[],"",""
13,"blood_rage","Art/2DArt/BuffIcons/buffrage.dds","[""Metadata/Effects/StatusAilments/blood_frenzy.epk""]",[],[],1,"","","","","","","",[],[],[],"",""
14,"kiweth_enrage","","[""Metadata/Effects/StatusAilments/blood_frenzy.epk""]",[],[],"","","","","","","","",[],[],[],"",""
15,"righteous_fire","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/ri_fire/bottom.epk""]",[],[],1,"","","","","","","",[],[],[],"",""
16,"righteous_fire_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/monsters_effects/league_avatar/Ri_fire_blue/bottom.epk""]",[],[],"","","","","","","","",[],[],[],"",""
17,"righteous_fire_celestial","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/bottom.epk""]",[],[],"","","","","","","","",[],[],[],"",""
18,"righteous_fire_harbinger","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/bottom.epk""]",[],[],"","","","","","","","",[],[],[],"",""
19,"righteous_fire_aura","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/Spells/ri_fire/player.epk""]",[],1,"","","","","","","",[],[],[],"",""
20,"righteous_fire_aura_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","",[],[],[],"",""
21,"righteous_fire_aura_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]",[],[],"","","","","","","","",[],[],[],"",""
