"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5161,1818,9979,1,"","","","",3
1,5162,1818,9980,1,"","","","",0
2,5163,1818,9981,1,"","","","",0
3,5164,1818,9983,1,"","","","",0
4,5165,1818,9982,1,"","","","",0
5,5166,1818,9984,1,"","","","",0
6,5167,1818,9985,1,"","","","",0
7,5168,1818,9986,1,"","","","",0
8,5169,1,10004,1,"","","","",0
9,5170,1818,10005,1,"","","","",0
10,5171,1818,10006,1,"","","","",0
11,5172,1818,10007,1,"","","","",0
12,5185,2100,10008,2,"","","","",0
13,5173,2100,11752,2,"","","","",0
14,5174,2100,11748,2,"","","","",0
15,5175,2100,11751,2,"","","","",0
16,5176,2100,11753,2,"","","","",0
17,5177,2100,11749,2,"","","","",0
18,5178,350,11760,2,"","","","",0
19,5179,350,11760,2,"","","","",0
20,5180,350,11759,2,"","","","",0
21,5181,350,11759,2,"","","","",0
22,5182,350,11761,2,"","","","",0
23,5183,350,11761,2,"","","","",0
24,5184,2100,11757,2,"","","","",0
25,5186,2400,11750,3,"","","","",0
26,5187,2400,11758,3,"","","","",0
27,5188,2400,11756,3,"","","","",0
28,5189,2400,11762,3,"","","","",0
29,5190,2400,11754,3,"","","","",0
30,5191,800,11755,3,"","","","",0
31,5192,800,11755,3,"","","","",0
32,5193,800,11755,3,"","","","",0
33,5194,2400,11747,3,"","","","",0
34,5195,100,"",4,"","","","",0
