"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1336,0,2570,1
1,"ProxyKey1",1340,0,2582,1
2,"ProxyKey2",1341,0,2582,1
3,"ProxyKey3",1348,0,2551,1
4,"ProxyKey4",1349,0,2551,1
5,"ProxyKey5",1356,0,2597,1
6,"ProxyKey6",1336,1,2560,1
7,"ProxyKey7",1340,1,2591,1
8,"ProxyKey8",1341,1,2591,1
9,"ProxyKey9",1348,1,2582,1
10,"ProxyKey10",1349,1,2582,1
11,"ProxyKey11",1356,1,2597,1
12,"ProxyKey12",1336,3,2543,1
13,"ProxyKey13",1340,3,2551,1
14,"ProxyKey14",1341,3,2551,1
15,"ProxyKey15",1348,3,2591,1
16,"ProxyKey16",1349,3,2591,1
17,"ProxyKey17",1356,3,2597,1
18,"ProxyKey18",1336,6,2582,1
19,"ProxyKey19",1340,6,2560,1
20,"ProxyKey20",1341,6,2560,1
21,"ProxyKey21",1348,6,2570,1
22,"ProxyKey22",1349,6,2570,1
23,"ProxyKey23",1356,6,2597,1
24,"ProxyKey24",1336,4,2551,1
25,"ProxyKey25",1340,4,2570,1
26,"ProxyKey26",1341,4,2570,1
27,"ProxyKey27",1348,4,2543,1
28,"ProxyKey28",1349,4,2543,1
29,"ProxyKey29",1356,4,2597,1
30,"ProxyKey30",1336,5,2591,1
31,"ProxyKey31",1340,5,2543,1
32,"ProxyKey32",1341,5,2543,1
33,"ProxyKey33",1348,5,2560,1
34,"ProxyKey34",1349,5,2560,1
35,"ProxyKey35",1356,5,2597,1
36,"ProxyKey36",1336,2,2560,1
37,"ProxyKey50",1336,2,2543,1
38,"ProxyKey51",1340,2,2570,1
39,"ProxyKey37",1340,2,2591,1
40,"ProxyKey42",1341,2,2570,1
41,"ProxyKey43",1341,2,2591,1
42,"ProxyKey38",1348,2,2582,1
43,"ProxyKey44",1348,2,2551,1
44,"ProxyKey45",1349,2,2582,1
45,"ProxyKey39",1349,2,2551,1
46,"ProxyKey41",1356,2,2597,1
