"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7196,0,0,0,[3046],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7197,0,0,0,[3047],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7198,0,0,0,[3046],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7199,0,0,0,[3047],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7200,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7208,0,1,0,[3046],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7210,0,1,1,[3050],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7212,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7216,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7218,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7222,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7223,2,0,0,[3051],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7226,2,1,1,[3054],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7228,2,1,0,[3053],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7232,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7234,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7236,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7241,3,0,0,[3059],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7243,3,0,0,[3059],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7248,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7249,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7251,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7256,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7258,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7261,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7260
25,7264,4,0,0,[3057],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
