"rownum","rid","i32","string","string","bool","string","bool","rid","f32"
0,37,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,2,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18435,1.75
2,4724,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,4725,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,4726,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,4727,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,4728,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,4729,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,4730,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,4731,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,4732,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,4733,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,4734,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
