"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2959
1,"Woe",1,"",2960
2,"Greed",1,"",2961
3,"Contempt",1,"",2962
4,"Sorrow",2,"",2963
5,"Anger",2,"",2964
6,"Torment",2,"",2965
7,"Fear",2,"",2966
8,"Suffering",3,"",2967
9,"Rage",3,"",2969
10,"Wrath",3,"",2968
11,"Doubt",3,"",2970
12,"Anguish",4,"",2971
13,"Loathing",4,"",2972
14,"Spite",4,"",2974
15,"Zeal",4,"",2973
16,"Misery",5,"",2975
17,"Dread",5,"",2976
18,"Scorn",5,"",2977
19,"Envy",5,"",2978
20,"Hysteria",6,1,2979
21,"Insanity",6,1,2980
22,"Horror",6,1,2981
23,"Delirium",6,1,2982
24,"NotEssence",0,"",2983
