"rownum","TaggedStat","rid_16","[rid]_32","rid_48","rid_64"
0,15449,24,[],"",""
1,15450,8546,[],"",""
2,15548,"",[481],"",""
3,15555,"",[483],"",""
4,15567,"",[],1,""
5,15568,"",[],2,""
6,15569,"",[],4,""
7,15570,"",[],12,""
8,15571,"",[],9,""
9,15572,"",[],10,""
10,15573,"",[],24,""
11,15630,11,[],"",""
12,15631,10,[],"",""
13,15632,15565,[],"",""
14,15633,1745,[],"",""
15,15634,7230,[],"",""
16,15554,"",[],"",1
17,15560,"",[],"",8
18,15561,"",[],"",2
19,15597,"",[],"",3
20,15598,"",[],"",4
21,15599,"",[],"",5
22,15600,"",[],"",6
23,15601,"",[],"",7
24,15602,"",[],"",9
25,15603,"",[],"",10
26,15604,"",[],"",12
27,15605,"",[],"",13
28,15606,"",[],"",14
29,15607,"",[],"",15
30,15608,"",[],"",16
31,15609,"",[],"",17
32,15610,"",[],"",18
33,15611,"",[],"",19
34,15612,"",[],"",20
35,15613,"",[],"",21
36,15614,"",[],"",22
37,15615,"",[],"",23
38,15616,"",[],"",24
39,15717,2355,[],"",""
