"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_44","string_45","i32_53","i32_57","i32_61","bool_65"
0,"Metadata/Items/SoulCores/RuneFireLesser",515,38,28,0,1,1,1,"uneFireLesser",0,0,0,1
1,"Metadata/Items/SoulCores/RuneFire",505,108,28,1,1,1,1,"uneFireLesser",0,0,0,1
2,"Metadata/Items/SoulCores/RuneFireGreater",525,178,28,2,1,1,1,"uneFireLesser",0,0,0,""
3,"Metadata/Items/SoulCores/RuneColdLesser",516,258,28,3,1,1,1,"uneFireLesser",0,0,0,1
4,"Metadata/Items/SoulCores/RuneCold",506,328,28,4,1,1,1,"uneFireLesser",0,0,0,1
5,"Metadata/Items/SoulCores/RuneColdGreater",526,398,28,5,1,1,1,"uneFireLesser",0,0,0,""
6,"Metadata/Items/SoulCores/RuneLightningLesser",517,478,28,6,1,1,1,"uneFireLesser",0,0,0,1
7,"Metadata/Items/SoulCores/RuneLightning",507,548,28,7,1,1,1,"uneFireLesser",0,0,0,1
8,"Metadata/Items/SoulCores/RuneLightningGreater",527,618,28,8,1,1,1,"uneFireLesser",0,0,0,""
9,"Metadata/Items/SoulCores/RuneEnhanceLesser",518,698,28,9,1,1,1,"uneFireLesser",0,0,0,1
10,"Metadata/Items/SoulCores/RuneEnhance",508,768,28,10,1,1,1,"uneFireLesser",0,0,0,1
11,"Metadata/Items/SoulCores/RuneEnhanceGreater",528,838,28,11,1,1,1,"uneFireLesser",0,0,0,""
12,"Metadata/Items/SoulCores/RuneLifeLesser",519,38,108,12,1,1,1,"uneFireLesser",0,0,0,1
13,"Metadata/Items/SoulCores/RuneLife",509,108,108,13,1,1,1,"uneFireLesser",0,0,0,1
14,"Metadata/Items/SoulCores/RuneLifeGreater",529,178,108,14,1,1,1,"uneFireLesser",0,0,0,""
15,"Metadata/Items/SoulCores/RuneManaLesser",520,258,108,15,1,1,1,"uneFireLesser",0,0,0,1
16,"Metadata/Items/SoulCores/RuneMana",510,328,108,16,1,1,1,"uneFireLesser",0,0,0,1
17,"Metadata/Items/SoulCores/RuneManaGreater",530,398,108,17,1,1,1,"uneFireLesser",0,0,0,""
18,"Metadata/Items/SoulCores/RuneAccuracyLesser",524,698,188,18,1,1,1,"uneFireLesser",0,0,0,1
19,"Metadata/Items/SoulCores/RuneAccuracy",514,768,188,19,1,1,1,"uneFireLesser",0,0,0,1
20,"Metadata/Items/SoulCores/RuneAccuracyGreater",534,838,188,20,1,1,1,"uneFireLesser",0,0,0,""
21,"Metadata/Items/SoulCores/RuneLifeRecoveryLesser",521,478,108,21,1,1,1,"uneFireLesser",0,0,0,1
22,"Metadata/Items/SoulCores/RuneLifeRecovery",511,548,108,22,1,1,1,"uneFireLesser",0,0,0,1
23,"Metadata/Items/SoulCores/RuneLifeRecoveryGreater",531,618,108,23,1,1,1,"uneFireLesser",0,0,0,""
24,"Metadata/Items/SoulCores/RuneManaRecoveryLesser",522,698,108,24,1,1,1,"uneFireLesser",0,0,0,1
25,"Metadata/Items/SoulCores/RuneManaRecovery",512,768,108,25,1,1,1,"uneFireLesser",0,0,0,1
26,"Metadata/Items/SoulCores/RuneManaRecoveryGreater",532,838,108,26,1,1,1,"uneFireLesser",0,0,0,""
27,"Metadata/Items/SoulCores/RuneStunLesser",523,38,268,27,1,1,1,"uneFireLesser",0,0,0,1
28,"Metadata/Items/SoulCores/RuneStun",513,108,268,28,1,1,1,"uneFireLesser",0,0,0,1
29,"Metadata/Items/SoulCores/RuneStunGreater",533,178,268,29,1,1,1,"uneFireLesser",0,0,0,""
30,"Metadata/Items/SoulCores/RuneStrengthLesser",535,38,188,30,1,1,1,"uneFireLesser",0,0,0,1
31,"Metadata/Items/SoulCores/RuneStrength",536,108,188,31,1,1,1,"uneFireLesser",0,0,0,1
32,"Metadata/Items/SoulCores/RuneStrengthGreater",537,178,188,32,1,1,1,"uneFireLesser",0,0,0,""
33,"Metadata/Items/SoulCores/RuneDexterityLesser",538,258,188,33,1,1,1,"uneFireLesser",0,0,0,1
34,"Metadata/Items/SoulCores/RuneDexterity",539,328,188,34,1,1,1,"uneFireLesser",0,0,0,1
35,"Metadata/Items/SoulCores/RuneDexterityGreater",540,398,188,35,1,1,1,"uneFireLesser",0,0,0,""
36,"Metadata/Items/SoulCores/RuneIntelligenceLesser",541,478,188,36,1,1,1,"uneFireLesser",0,0,0,1
37,"Metadata/Items/SoulCores/RuneIntelligence",542,548,188,37,1,1,1,"uneFireLesser",0,0,0,1
38,"Metadata/Items/SoulCores/RuneIntelligenceGreater",543,618,188,38,1,1,1,"uneFireLesser",0,0,0,""
