"rownum","Id","ArmFile","RoomType","Script","Floor","Area","i32_72"
0,"Caverns_Arena_01","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_01.arm",1,"telepad1",0,"",1
1,"Caverns_Arena_02","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_02.arm",1,"telepad1",0,"",1
2,"Caverns_Arena_03","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_03.arm",1,"telepad1",0,"",0
3,"Caverns_Arena_04","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_04.arm",1,"telepad1",0,"",0
4,"Caverns_Arena_05","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_05.arm",1,"telepad1",0,"",1
5,"Caverns_Arena_06","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_06.arm",1,"telepad1",0,"",1
6,"Caverns_Arena_07","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Arena/arena_07.arm",1,"telepad1",0,"",1
7,"Caverns_Ritual_01","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_01.arm",2,"telepad1",0,"",0
8,"Caverns_Ritual_02","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_02.arm",2,"telepad1",0,"",0
9,"Caverns_Ritual_03","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_03.arm",2,"telepad1",0,"",0
10,"Caverns_Ritual_04","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_04.arm",2,"telepad1",0,"",1
11,"Caverns_Ritual_05","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_05.arm",2,"telepad1",0,"",0
12,"Caverns_Ritual_06","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_06.arm",2,"telepad1",0,"",1
13,"Caverns_Ritual_07","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Ritual/ritual_07.arm",2,"telepad1",0,"",0
14,"Caverns_Lair_01","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_01.arm",3,"telepad1",0,"",1
15,"Caverns_Lair_02","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_02.arm",3,"telepad1",0,"",1
16,"Caverns_Lair_03","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_03.arm",3,"telepad1",0,"",1
17,"Caverns_Lair_04","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_04.arm",3,"telepad1",0,"",1
18,"Caverns_Lair_05","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_05.arm",3,"telepad1",0,"",1
19,"Caverns_Lair_06","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_06.arm",3,"telepad1",0,"",1
20,"Caverns_Lair_07","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Lair/lair_07.arm",3,"telepad1",0,"",1
21,"Caverns_Explore_01","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Explore/explore_01.arm",0,"telepad1",0,"",1
22,"Caverns_Explore_02","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Explore/explore_02.arm",0,"telepad1",0,"",1
23,"Caverns_Explore_03","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Explore/explore_03.arm",0,"telepad1",0,"",1
24,"Caverns_Explore_04","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Explore/explore_04.arm",0,"telepad1",0,"",1
25,"Caverns_Explore_05","Metadata/Terrain/Gallows/Leagues/Sanctum/Level_1/Rooms/Explore/explore_05.arm",0,"telepad1",0,"",1
