"rownum","SkillGem","Supports"
0,412,"[108,6,26,265,16,97,497,270,271]"
1,421,"[5,95,108,17,107,497,98,19,648]"
2,422,"[5,95,108,17,107,267,497,98,681]"
3,423,"[5,95,108,17,107,267,497,98,19]"
4,320,"[167,352,336,601,43,641,686,353,497]"
5,66,"[11,489,492,493,348,665]"
6,537,"[489,491,266,493,271,665]"
7,380,"[491,168,492,493,270,663]"
8,283,"[168,14,36,560,556,520,475,522,672]"
9,323,"[5,11,107,225,84,98]"
10,77,"[165,166,354,226,499,26,411,501,554]"
11,126,"[35,169,125,107,26,565,124,642,630]"
12,144,"[167,166,523,26,565,590,629,592,653]"
13,2,"[352,107,271,462,101,475,496,506,673]"
14,42,"[35,332,162,226,556,560,501,497,672]"
15,70,"[11,378,506,503,276,409,266,607,680]"
16,33,"[108,6,363,502,410,461,497,124,681]"
17,319,"[169,212,94,225,470,211,107,411,701]"
18,82,"[166,162,26,500,553,590,629,97,653]"
19,116,"[95,100,162,520,500,553,522,628,679]"
20,115,"[11,379,469,226,506,409,276,503,607]"
21,1,"[166,11,528,101,411,590,628,657,673]"
22,321,"[11,108,502,410,461,642,600,652,649]"
23,391,"[339,329,11,107,520,522,411,589,499]"
24,132,"[97,505,5,340,168,108,553,464,98]"
25,146,"[100,166,167,26,226,565,625,601,649]"
26,390,"[100,462,167,101,499,26,411,565,653]"
27,385,"[5,210,505,500,340,84,270,591,634]"
28,388,"[100,165,166,225,679,411,589,590,636]"
29,546,"[491,489,492,493,665,667]"
30,515,"[165,491,267,492,493,667]"
31,431,"[12,96,354,18,97,10,497,270,19]"
32,68,"[489,35,492,97,84,348]"
33,547,"[489,491,492,266,474,271]"
34,326,"[56,111,370,97,43,476,645,686,689]"
35,109,"[491,11,267,499,493,568]"
36,347,"[11,354,493,43,97,652]"
37,538,"[489,490,492,266,667,668]"
38,40,"[22,7,49,505,593,604,598,612,595]"
39,525,"[332,488,97,43,497,271,168,475,17]"
40,508,"[9,488,570,505,555,337,591,603,612]"
41,145,"[188,207,43,528,269,270,271,657,670]"
42,191,"[339,100,555,574,97,50,595,670,698]"
43,311,"[35,99,12,48,206,500,465,575,595]"
44,312,"[11,7,8,48,500,505,302,84,465]"
45,325,"[327,11,488,520,522,97,474,636,595]"
46,308,"[22,305,376,97,225,467,19,50,637]"
47,313,"[49,336,470,500,15,575,225,627,701]"
48,543,"[9,8,339,505,47,575,466,631,702]"
49,477,"[573,374,125,505,566,500,84,50,598]"
50,542,"[12,339,570,333,574,575,620,595,84]"
51,63,"[114,304,506,270,378,353,267,685,271]"
52,310,"[11,376,305,528,500,499,467,501,522]"
53,30,"[168,377,506,267,353,270,271,14,707]"
