"rownum","Id","Value","Divisor"
0,"MonsterAccuracyBase",47,1
1,"MonsterAccuracyIncremental",321,1
2,"MonsterAccuracyImprovement",210,100
3,"MonsterArmourBase",2,1
4,"MonsterArmourIncremental",7,4
5,"MonsterArmourStrengthRatioMultiplier",3,1
6,"MonsterArmourImprovement",450,100
7,"MonsterEvasionBase",8,1
8,"MonsterEvasionIncremental",3,1
9,"MonsterEvasionDexterityRatioMultiplier",2,1
10,"MonsterEvasionImprovement",12,10
11,"OldLeechModsEffectiveness",20,1
12,"AscendancyRespecCost",5,1
13,"SkillDamageBaseEffectiveness",3885209,1000000
14,"SkillDamageIncrementalEffectiveness",0,1000000
15,"MaxHideoutDoodads",750,1
16,"PassiveTreeJewelDistanceMultiplier",120,100
17,"PartyQuantityBonusPerAdditionalPlayer",20,100
18,"PartyQuantityBonusPerAdditionalPlayerHardMode",20,100
19,"PartyRarityBonusPerAdditionalPlayer",0,100
20,"PartyRarityBonusPerAdditionalPlayerHardMode",0,100
21,"PartyUniqueBonusPerAdditionalPlayer",30,100
22,"LightStunMinimumChance",20,1
23,"LightStunRatioScale",92,1
24,"LightStunMinimumChancePlayer",12,1
25,"LightStunRatioScalePlayer",83,1
26,"HeavyStunDamageScale",87,100
27,"HeavyStunThresholdModifier",500,1
28,"HeavyStunModifierDuration",16500,1000
29,"HeavyStunDamageScalePlayer",100,100
30,"HeavyStunThresholdModifierPlayer",100,1
31,"HeavyStunModifierDurationPlayer",10000,1000
32,"FreezeDamageScale",210,100
33,"FreezeDamageScalePlayer",200,100
34,"FreezeDuration",4000,1000
35,"FreezeDurationPlayer",2000,1000
36,"FreezeThresholdModifier",500,1
37,"FreezeModifierDuration",14000,1000
38,"ElectrocuteDamageScale",170,100
39,"ElectrocuteDuration",5000,1
40,"ElectrocuteDurationPlayer",2000,1
41,"ElectrocuteThresholdModifier",500,1
42,"ElectrocuteModifierDuration",15000,1000
43,"PinDamageScale",420,100
44,"PinDuration",3000,1000
45,"PinDurationPlayer",2000,1000
46,"PinThresholdModifier",500,1
47,"PinModifierDuration",13000,1000
48,"MonsterIntRatioCovertLifeToEnergyShield",100,1
49,"ShockChanceMultiplier",25,1
50,"IgniteChanceMultiplier",25,1
51,"MiscAilmentChanceMultiplier",25,1
52,"AilmentChanceExponent",1,1
53,"ChillEffectMultiplier",60,1
54,"ChillMaxEffect",50,1
55,"SellPriceMultiplier",11,100
56,"MobilePriceMultiplier",25,100
57,"UnidentifiedMagicMultiplier",150,100
58,"UnidentifiedRareMultiplier",600,100
59,"IdentifiedMagicMultiplier",100,100
60,"IdentifiedRareMultiplier",200,100
61,"AtlasPassiveRespecCost",5000,1
62,"EndgameStartLevel",65,1
63,"BleedingHitDamagePercentPerMinute",900,1
64,"IgniteHitDamagePercentPerMinute",1200,1
65,"PoisonHitDamagePercentPerMinute",1200,1
66,"JaggedGroundMagnitude",-20,1
67,"BaseBleedingDuration",5,1
68,"BaseChillDuration",2,1
69,"BaseShockDuration",4,1
70,"BasePoisonDuration",2,1
71,"BaseIgniteDuration",4,1
72,"BaseBloodstainedAfterBleedingDuration",6000,1000
73,"BloodstainedMultiplierWhenMovingOrBleedingAggravated",2,1
74,"UnholyMightBaseMagnitude",30,1
75,"ImpalePercentage",30,100
76,"ImpaleMaximumStacks",60,1
77,"PlayerAilmentThresholdLifeFactor",50,100
78,"BaseShieldRegenCooldownTimeMs",4000,1
79,"CullingStrikeNormalThreshold",30,1
80,"CullingStrikeMagicThreshold",20,1
81,"CullingStrikeRareThreshold",10,1
82,"CullingStrikeUniqueThreshold",5,1
