"rownum","i32_0","i32_4","i32_8","Requirement","Requirement (French)","Requirement (German)","Requirement (Japanese)","Requirement (Korean)","Requirement (Portuguese)","Requirement (Russian)","Requirement (Spanish)","Requirement (Thai)","Requirement (Traditional Chinese)"
0,0,0,1024,"Complete the Test of Cunning","Terminez le Test de Ruse","Schließt die Prüfung der List ab","狡猾さの試験を完了しろ","지혜의 시험 완료하기","Complete o Teste de Sagacidade","Пройдите испытание хитрости","Completa la prueba de astucia","ผ่าน บทพิสูจน์เล่ห์เหลี่ยม","完成計謀的測試"
1,1,0,1013,"Complete the Test of Strength","Terminez le Test de Force","Schließt die Prüfung der Stärke ab","力の試験を完了しろ","힘의 시험 완료하기","Complete o Teste de Força","Пройдите испытание силы","Completa la prueba de fuerza","ผ่าน บทพิสูจน์พละกำลัง","完成力量的測試"
2,2,0,1014,"Complete the Test of Strength","Terminez le Test de Force","Schließt die Prüfung der Stärke ab","力の試験を完了しろ","힘의 시험 완료하기","Complete o Teste de Força","Пройдите испытание силы","Completa la prueba de fuerza","ผ่าน บทพิสูจน์พละกำลัง","完成力量的測試"
3,3,0,1015,"Complete the Test of Will","Terminez le Test de Volonté","Schließt die Prüfung des Willens ab","意志の試験を完了しろ","의지의 시험 완성하기","Complete o Teste de Determinação","Пройдите испытание воли","Completa la prueba de voluntad","ผ่าน บทพิสูจน์ปณิธาน","完成意志的測試"
4,0,1,1016,"Complete the Test of Will","Terminez le Test de Volonté","Schließt die Prüfung des Willens ab","意志の試験を完了しろ","의지의 시험 완성하기","Complete o Teste de Determinação","Пройдите испытание воли","Completa la prueba de voluntad","ผ่าน บทพิสูจน์ปณิธาน","完成意志的測試"
5,1,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
6,2,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
7,3,1,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
8,4,1,1018,"Complete the Test of Cunning","Terminez le Test de Ruse","Schließt die Prüfung der List ab","狡猾さの試験を完了しろ","지혜의 시험 완료하기","Complete o Teste de Sagacidade","Пройдите испытание хитрости","Completa la prueba de astucia","ผ่าน บทพิสูจน์เล่ห์เหลี่ยม","完成計謀的測試"
9,0,2,1017,"Complete the Test of Cunning","Terminez le Test de Ruse","Schließt die Prüfung der List ab","狡猾さの試験を完了しろ","지혜의 시험 완료하기","Complete o Teste de Sagacidade","Пройдите испытание хитрости","Completa la prueba de astucia","ผ่าน บทพิสูจน์เล่ห์เหลี่ยม","完成計謀的測試"
10,1,2,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
11,2,2,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
12,3,2,1011,"Unlocked","Débloqué","Freigeschaltet","アンロックされている","개방","Destravado","Разблокировано","Desbloqueado","ปลดล็อกแล้ว","已解鎖"
13,4,2,1020,"Complete the Test of Time","Terminez le Test du Temps","Schließt die Prüfung der Zeit ab","時の試験を完了しろ","시간의 시험 완성하기","Complete o Teste do Tempo","Пройдите испытание времени","Completa la prueba de tiempo","ผ่าน บทพิสูจน์กาลเวลา","完成時間的測試"
14,1,3,1021,"Complete the Test of Time","Terminez le Test du Temps","Schließt die Prüfung der Zeit ab","時の試験を完了しろ","시간의 시험 완성하기","Complete o Teste do Tempo","Пройдите испытание времени","Completa la prueba de tiempo","ผ่าน บทพิสูจน์กาลเวลา","完成時間的測試"
15,2,3,1022,"Complete the Test of Strength","Terminez le Test de Force","Schließt die Prüfung der Stärke ab","力の試験を完了しろ","힘의 시험 완료하기","Complete o Teste de Força","Пройдите испытание силы","Completa la prueba de fuerza","ผ่าน บทพิสูจน์พละกำลัง","完成力量的測試"
16,3,3,1023,"Complete the Test of Will","Terminez le Test de Volonté","Schließt die Prüfung des Willens ab","意志の試験を完了しろ","의지의 시험 완성하기","Complete o Teste de Determinação","Пройдите испытание воли","Completa la prueba de voluntad","ผ่าน บทพิสูจน์ปณิธาน","完成意志的測試"
17,4,3,1025,"Complete the Test of Time","Terminez le Test du Temps","Schließt die Prüfung der Zeit ab","時の試験を完了しろ","시간의 시험 완성하기","Complete o Teste do Tempo","Пройдите испытание времени","Completa la prueba de tiempo","ผ่าน บทพิสูจน์กาลเวลา","完成時間的測試"
