"rownum","string_0","[rid]_8","bool_24","i32_25","[rid]_29","bool_45","i32_46","rid_50","bool_66","[rid]_67","i32_83","bool_87","[rid]_88","i32_104","rid_108","rid_124","i32_140","i32_144"
0,"IsNormal",[],"",1,[],"",1,0,"",[],0,"",[],1,"","",0,0
1,"IsMagic",[],"",1,[],"",1,1,"",[],0,"",[],1,"","",0,0
2,"IsRare",[],"",1,[],"",1,2,"",[],0,"",[],1,"","",0,0
3,"IsUnique",[],"",1,[],"",1,3,"",[],0,"",[],1,"","",0,0
4,"IsHarbinger",[],"",1,[6076],"",1,"","",[],0,"",[],1,"","",0,0
5,"IsRogueExile",[],"",1,[8409],"",1,"","",[],0,"",[],1,"","",0,0
6,"IsInvasionBoss",[],"",1,[3412],"",1,"","",[],0,"",[],1,"","",0,0
7,"IsMapBoss",[],"",1,[892],"",0,"",1,[],0,"",[],1,"","",0,0
8,"RhoaFullyEnraged",[693],"",3,[],"",1,"","",[],0,"",[],1,"","",0,0
9,"HasSoulEaterX30",[286],"",30,[],"",1,"","",[],0,"",[],1,"","",0,0
10,"HasNoLightningShield",[711],"",0,[],"",1,"","",[],0,"",[],1,"","",0,0
11,"Has4Totems",[],"",1,[3295],"",4,"","",[],0,"",[],1,"","",0,0
12,"HasDuetEnrage",[463],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
13,"IsPossessed",[],"",1,[2571],"",1,"","",[],0,"",[],1,"","",0,0
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",[8020],0,"",[],1,"","",0,1
15,"IsBeyondBoss",[],"",1,[5520],"",1,"","",[],0,"",[],1,"","",0,0
16,"IsBreachMonster",[],"",1,[4979],"",1,"","",[],0,"",[],1,"","",0,0
17,"HasOnslaught",[],"",1,[16558],"",1,"","",[],0,"",[],1,"","",0,0
18,"IsPossessedByBootlegger",[],"",1,[2571],"",1,"","",[7948],0,"",[],1,"","",0,1
19,"IsPossessedByBuccaneer",[],"",1,[2571],"",1,"","",[7951],0,"",[],1,"","",0,1
20,"IsCursed",[],"",1,[738],"",1,"","",[],0,"",[],1,"","",0,0
21,"HasEssence",[],"",1,[],"",1,"","",[],1,"",[],1,"","",0,0
22,"HasEssenceX3",[],"",1,[],"",1,"","",[],3,"",[],1,"","",0,0
23,"HasEssenceX5",[],"",1,[],"",1,"","",[],5,"",[],1,"","",0,0
24,"HasEssenceX8",[],"",1,[],"",1,"","",[],8,"",[],1,"","",0,0
25,"HasTalisman",[],"",1,[],"",1,"","",[],0,1,[],1,"","",0,0
26,"IsPantingOrDancing",[],"",1,[],"",1,"","",[],0,"","[104,82]",1,"","",0,0
27,"HasIceTotemsX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
28,"HasIceMinionsX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
29,"HasBloodRavensX3",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
30,"HasFireSkelliesX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
31,"IsEnraged",[618],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
32,"IsScreeching",[],"",1,[],"",1,"","",[],0,"",[],1,304,"",0,0
33,"HasHotdogsX10",[],"",1,[],"",1,"","",[],0,"",[],10,"",271,0,0
34,"IsOnFullEnergyShield",[],"",1,[2338],"",1,"","",[],0,"",[],1,"","",0,0
35,"IsInAfflictionMist",[],"",1,[11145],"",1,"","",[],0,"",[],1,"","",0,0
36,"IsBleeding",[],"",1,[2025],"",1,"","",[],0,"",[],1,"","",0,0
37,"HasImmortalCall",[],"",1,[727],"",1,"","",[],0,"",[],1,"","",0,0
38,"CastingScorchingRay",[],"",1,[],"",1,"","",[],0,"",[],1,254,"",0,0
39,"IsMavenBuffed",[],"",1,[],"",1,"","",[12516],0,"",[],1,"","",0,1
40,"IsUsingWolfBarrage",[],"",1,[],"",1,"","",[],0,"",[],1,235,"",0,0
41,"IsTaunted",[],"",1,[3314],"",1,"","",[],0,"",[],1,"","",0,0
42,"HasMoltenShell",[130],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
43,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","",[],0,"",[57],1,"","",0,0
44,"HasVolatileSurge",[711],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
45,"IsTaggedBySentinel",[],"",1,[15363],"",1,"","",[],0,"",[],1,"","",0,0
46,"IsTaggedBySentinelUnique",[],"",1,[15486],"",1,"","",[],0,"",[],1,"","",0,0
47,"EssenceWith4Affixes",[],"",1,[],"",1,"","",[],1,"",[],1,"","",4,0
48,"HasAffixesX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",4,0
49,"HasSpecialEssences",[],"",1,[],"",1,"","",[9405],0,"",[],1,"","",0,1
50,"IsChilled",[],"",1,[1797],"",1,"","",[],0,"",[],1,"","",0,0
51,"HasEmpowerment50",[],"",1,[15546],"",50,"","",[],0,"",[],1,"","",0,0
52,"HasAffixesX5",[],"",1,[],"",1,"","",[],0,"",[],1,"","",5,0
53,"HasEssenceX6",[],"",1,[],"",1,"","",[],6,"",[],1,"","",0,0
54,"IsHarvestTier3OrAbove",[],"",1,[17865],"",3,"","",[],0,"",[],1,"","",0,0
