"rownum","string_0","[rid]_8","rid_24","[rid]_40","i32_56","i32_60"
0,"RenlyBuyArmour","[236,237,238]",14407,[8],0,1
1,"RenlyBuyWeapon","[236,237,238]",14429,[7],0,1
2,"RenlySellItem","[236,237,238]",14471,[1],0,1
3,"RenlyOpenShop","[236,237,238]",14451,[2],0,1
4,"KetzuliBuy",[466],15200,[0],0,1
5,"KetzuliSell",[466],15251,[1],0,1
6,"KetzuliOpenShop",[466],15239,[2],0,1
7,"AtaluiBuy",[465],15304,[0],0,1
8,"AtaluiSell",[465],15340,[1],0,1
9,"AtaluiOpenShop",[465],15328,[2],0,1
10,"AlvaCloseShopNoBuy","[348,463]",15352,[4],0,1
11,"AlvaGambleNormal","[348,463]",15375,[9],0,1
12,"AlvaGambleMagic","[348,463]",15362,[10],0,1
13,"AlvaGambleRare","[348,463]",15409,[11],0,1
14,"AlvaGambleUnique","[348,463]",15439,[12],0,1
15,"AlvaOpenShop","[348,463]",15394,[2],0,1
16,"AlvaSell","[348,463]",15422,[1],0,1
17,"OswaldBuyArmour","[357,358,359,360]",15452,[8],0,1
18,"OswaldBuyMelee","[357,358,359,360]",15490,[13],0,1
19,"OswaldBuyNormal","[357,358,359,360]",15498,[9],0,3
20,"OswaldBuyMagic","[357,358,359,360]",15475,[10],0,3
21,"OswaldBuyRare","[357,358,359,360]",15519,[11],0,3
22,"FinnGambleNormal","[249,252]",15584,[9],0,1
23,"FinnGambleMagic","[249,252]",15564,[10],0,1
24,"FinnGambleRare","[249,252]",15608,[11],0,1
25,"FinnGambleUnique","[249,252]",15621,[12],0,1
26,"FinnOpenShop","[249,252]",15635,[2],0,1
27,"FinnSell","[249,252]",15651,[1],0,1
28,"UnaBuyFlaskLife","[242,243,244,248]",15668,[14],5,1
29,"UnaBuyFlaskMana","[242,243,244,248]",15682,[15],5,1
30,"UnaBuyGeneric","[242,243,244,248]",15692,[0],0,1
31,"UnaOpenShop","[242,243,244,248]",15737,[2],0,1
32,"UnaSell","[242,243,244,248]",15752,[1],0,1
33,"ServiBuy",[361],15766,[0],0,1
34,"ServiBuyCharm",[361],15777,[16],5,1
35,"ServiBuyFlaskLife",[361],15788,[14],5,1
36,"ServiBuyFlaskMana",[361],15804,[15],5,1
37,"ServiOpenShop",[361],15842,[2],0,1
38,"ServiSell",[361],15857,[1],0,1
39,"DannigEGOpenShop","[469,177]",15962,[2],0,1
40,"DannigEGExchange","[469,177]",15932,[0],0,1
41,"ShambrinOpenShop",[288],16052,[2],0,1
42,"ShambrinBuyArmour",[288],15998,[8],1,2
43,"ShambrinBuyWeapon",[288],16029,[7],1,2
44,"ShambrinBuyGeneric",[288],16015,[0],1,1
45,"ShambrinSellGeneric",[288],16067,[1],0,1
46,"RisuOpenShop","[316,317,318]",16141,[2],0,1
47,"RisuSellGeneric","[316,317,318]",16156,[1],0,1
48,"SebastianOpenShop",[478],16717,[2],0,1
49,"SebastianBuyGeneric",[478],16726,[0],0,1
50,"SebastianSellGeneric",[478],16735,[1],0,1
51,"GwendolynOpenShop",[479],16758,[2],0,1
52,"GwendolynBuy",[479],16762,[0],0,1
53,"GwendolynSell",[479],16766,[1],0,1
54,"NamelessSeerOpenShop",[483],16775,[2],0,1
55,"NamelessSeerBuy",[483],16778,[0],0,1
56,"CauldronCroneBuy",[480],12559,[0],0,1
57,"CauldronCroneSell",[480],12561,[1],0,1
