"rownum","rid_0","rid_16","rid_32"
0,1751,16994,13849
1,1748,16994,13849
2,1747,16994,13849
3,1752,16994,13849
4,1746,16994,13849
5,1750,16994,13849
6,1749,16994,13849
7,1710,16994,13848
8,1712,16994,13848
9,1715,16994,13848
10,1717,16994,13848
11,1718,16994,13847
12,1714,16994,13848
13,1713,16994,13847
14,1711,16994,13847
15,1716,16994,13847
16,928,16994,13849
17,929,16994,13849
18,930,16994,13850
19,931,16994,13849
20,932,16994,13848
21,933,16994,13848
22,934,16994,13848
23,935,16994,13847
24,936,16994,13847
25,937,16994,13847
26,0,16994,13846
27,33,16994,13846
28,111,16994,13847
29,7,16994,13847
30,11,16994,13846
31,8,16994,13846
32,15,16994,13847
33,1175,16994,13849
34,115,16994,13848
35,114,16994,13847
36,35,16994,13850
37,116,16994,13849
38,54,16994,13850
39,22,16994,13846
40,21,16994,13846
41,20,16994,13846
42,53,16994,13850
43,4,16994,13849
44,3,16994,13848
45,112,16994,13847
46,12,16994,13846
47,27,16994,13847
48,28,16994,13850
49,110,16994,13849
50,1262,16994,13849
51,17,16994,13846
52,9,16994,13846
53,26,16994,13850
54,29,16994,13846
55,191,16994,13849
56,192,16994,13849
57,193,16994,13849
58,194,16994,13848
59,195,16994,13848
60,196,16994,13848
61,197,16994,13848
62,198,16994,13847
63,199,16994,13847
64,200,16994,13847
65,201,16994,13847
66,202,16994,13847
67,1261,16994,13848
68,141,16994,13848
69,143,16994,13848
70,146,16994,13848
71,144,16994,13848
72,142,16994,13848
73,145,16994,13848
74,148,16994,13850
75,147,16994,13849
76,149,16994,13848
77,806,16994,13849
78,776,16994,13849
79,790,16994,13849
80,760,16994,13849
81,792,16994,13849
82,762,16994,13849
83,804,16994,13849
84,774,16994,13850
85,807,16994,13849
86,777,16994,13849
87,800,16994,13849
88,770,16994,13849
89,795,16994,13849
90,765,16994,13849
91,798,16994,13849
92,768,16994,13849
93,816,16994,13849
94,786,16994,13849
95,791,16994,13849
96,761,16994,13849
97,808,16994,13849
98,778,16994,13849
99,801,16994,13849
100,771,16994,13849
101,810,16994,13849
102,780,16994,13849
103,812,16994,13849
104,782,16994,13849
105,811,16994,13849
106,813,16994,13849
107,783,16994,13849
108,781,16994,13849
109,794,16994,13849
110,764,16994,13849
111,797,16994,13849
112,767,16994,13849
113,788,16994,13849
114,796,16994,13849
115,766,16994,13849
116,758,16994,13849
117,799,16994,13849
118,769,16994,13849
119,817,16994,13849
120,787,16994,13849
121,789,16994,13849
122,803,16994,13849
123,773,16994,13849
124,759,16994,13849
125,809,16994,13849
126,779,16994,13849
127,815,16994,13849
128,785,16994,13849
129,814,16994,13849
130,784,16994,13849
131,805,16994,13849
132,775,16994,13849
133,802,16994,13849
134,772,16994,13849
135,793,16994,13849
136,763,16994,13849
137,2,16994,13846
138,1274,16994,13849
139,1272,16994,13849
140,1275,16994,13850
141,1269,16994,13848
142,1268,16994,13848
143,1267,16994,13848
144,1270,16994,13849
145,1273,16994,13848
146,1271,16994,13849
147,55,16994,13850
148,56,16994,13850
149,206,16994,13849
150,207,16994,13849
151,208,16994,13849
152,204,16994,13849
153,205,16994,13849
154,203,16994,13850
155,19,16994,13848
156,128,16994,13850
157,117,16994,13850
158,18,16994,13846
159,1719,16994,13848
160,1260,16994,13847
161,1698,16994,13849
162,1700,16994,13849
163,219,16994,13850
164,218,16994,13849
165,217,16994,13848
166,216,16994,13847
167,215,16994,13850
168,214,16994,13849
169,213,16994,13848
170,212,16994,13847
171,1699,16994,13849
172,125,16994,13850
173,6,16994,13850
174,168,16994,13848
175,162,16994,13848
176,166,16994,13848
177,174,16994,13849
178,172,16994,13848
179,164,16994,13849
180,153,16994,13848
181,170,16994,13850
182,163,16994,13849
183,161,16994,13848
184,173,16994,13849
185,152,16994,13848
186,155,16994,13848
187,167,16994,13850
188,150,16994,13848
189,165,16994,13848
190,158,16994,13848
191,156,16994,13848
192,171,16994,13848
193,151,16994,13848
194,154,16994,13848
195,159,16994,13848
196,157,16994,13848
197,160,16994,13848
198,169,16994,13848
199,42,16994,13848
200,13,16994,13847
201,220,16994,13850
202,102,16994,13848
203,101,16994,13848
204,99,16994,13848
205,100,16994,13849
206,103,16994,13850
207,10,16994,13848
208,5,16994,13847
209,14,16994,13849
210,16,16994,13846
211,209,16994,13850
212,979,16994,13850
213,978,16994,13850
214,976,16994,13850
215,977,16994,13850
216,975,16994,13850
217,1767,16994,13849
218,1768,16994,13850
219,1769,16994,13849
220,1770,16994,13850
