"rownum","Id","i32_8","f32_12","rid_16","rid_32","rid_48"
0,"IgnitedGround",4,24,3470,183,""
1,"ChilledGround",4,0,5882,185,""
2,"CausticCloud",8,5,4439,479,""
3,"Tar",4,0,4776,186,""
4,"Smoke",8,0,11705,1409,""
5,"Desecration",4,24,2158,223,""
6,"Consecration",10,0,8228,224,1174
7,"ShockedGround",4,0,9655,247,""
8,"Vortex",4,4,4669,637,""
9,"Haste",4,0,"",722,""
10,"Sandstorm",0,24,"",811,""
11,"Blizzard",4,0,"",741,185
12,"Spores",4,24,6897,464,""
13,"DevouringDarkness",4,24,"",780,""
14,"Quicksand",0,24,7509,860,""
15,"Blood",0,24,13998,1050,""
16,"TemporalAnomaly",10,0,9525,939,1323
17,"OrionMeteor",0,0,"",1353,247
18,"CrownOfThorns",4,24,3470,1484,""
19,"VaalCloud",4,24,"",317,""
20,"Profane",10,0,"",1457,""
21,"ChaosOfferingOfJudgement",6,24,"",504,520
22,"FireOfferingOfJudgement",6,24,"",503,520
23,"DespairBearGeyser",0,24,"",804,""
24,"Fungal",0,0,"",1313,1315
25,"BestiarySpiderWeb",0,24,20717,969,""
26,"Unused",0,0,"",185,""
27,"Oil",4,24,15203,1537,183
28,"ScorchedGround",4,0,"",1624,""
29,"GravityWell",0,24,"",1663,""
30,"LightningVortex",4,4,13250,1693,""
31,"BrittleGround",4,0,"",1936,""
32,"SappedGround",4,0,"",1937,""
33,"Sludge",4,0,17585,1945,""
34,"Sanctum",4,0,16839,2034,""
35,"SanctumFire",4,0,3470,184,""
36,"SanctumChaos",8,5,4439,480,""
37,"LivingBlood",4,0,"",1345,1346
38,"FungalArtillery",4,24,"",1349,""
39,"ChimeraCorrupted",4,0,16390,2149,""
40,"Jagged",0,0,"",2157,""
41,"Sulphite",0,0,17537,2166,""
42,"PhysFireLifeRecover",4,24,18970,2357,""
43,"PoisonCloud",0,0,"",2558,""
44,"SpiderWeb",4,0,20717,2561,""
45,"ManaSiphoningGround",0,0,22180,1892,""
46,"GenericGroundEffect",4,0,22254,2588,""
