"rownum","BaseItemType","Critical","rid_20","Speed","DamageMin","DamageMax","RangeMax","ReloadTime"
0,268,500,7,833,1,1,13,0
1,269,500,4,909,3,28,11,0
2,270,500,9,833,10,18,13,0
3,980,600,1,667,5,10,10,0
4,1276,700,4,588,0,0,11,0
5,1277,700,7,625,0,0,13,0
6,2389,500,4,645,6,9,11,0
7,1784,500,4,645,6,9,11,0
8,1785,500,4,625,8,13,11,0
9,1786,500,4,667,11,20,11,0
10,1787,500,4,645,14,23,11,0
11,1788,500,4,625,19,34,11,0
12,1789,500,4,667,18,38,11,0
13,1790,500,4,667,27,37,11,0
14,1791,500,4,645,27,45,11,0
15,1792,500,4,667,33,49,11,0
16,1793,500,4,606,26,55,11,0
17,1794,500,4,625,30,56,11,0
18,1795,500,4,667,36,60,11,0
19,1796,500,4,645,43,65,11,0
20,1797,500,7,769,9,16,13,0
21,1798,500,7,741,13,23,13,0
22,1799,500,7,769,19,32,13,0
23,1800,500,7,800,25,42,13,0
24,1801,500,7,769,28,52,13,0
25,1802,500,7,741,31,58,13,0
26,1803,500,7,769,40,67,13,0
27,1804,500,7,800,49,73,13,0
28,1805,500,7,769,45,94,13,0
29,1806,500,7,800,55,103,13,0
30,1807,500,7,769,51,106,13,0
31,1808,500,7,741,61,92,13,0
32,1809,500,7,769,72,119,13,0
33,1810,500,2,667,4,10,11,0
34,1811,500,2,690,5,14,11,0
35,1812,500,2,690,8,21,11,0
36,1813,500,2,667,8,25,11,0
37,1814,500,2,667,13,31,11,0
38,1815,650,2,714,18,37,11,0
39,1816,500,2,667,19,44,11,0
40,1817,500,2,667,20,42,11,0
41,1818,500,2,645,24,55,11,0
42,1819,500,2,645,30,62,11,0
43,1820,500,2,667,28,65,11,0
44,1821,500,2,667,26,69,11,0
45,1822,500,2,667,34,79,11,0
46,1823,500,5,833,8,20,13,0
47,1824,500,5,800,10,25,13,0
48,1825,500,5,833,10,41,13,0
49,1826,500,5,870,17,59,13,0
50,1827,500,5,833,19,64,13,0
51,1828,500,5,833,23,70,13,0
52,1829,650,5,833,27,91,13,0
53,1830,500,5,870,43,99,13,0
54,1831,500,5,833,43,113,13,0
55,1832,500,5,833,58,154,13,0
56,1833,500,5,833,53,123,13,0
57,1834,500,5,833,48,143,13,0
58,1835,500,5,833,59,155,13,0
59,1836,500,3,690,6,10,11,0
60,1837,500,3,690,9,15,11,0
61,1838,500,3,645,11,17,11,0
62,1839,500,3,690,15,24,11,0
63,1840,700,3,690,18,24,11,0
64,1841,500,3,714,18,38,11,0
65,1842,500,3,690,28,38,11,0
66,1843,500,3,714,31,38,11,0
67,1844,650,3,690,33,49,11,0
68,1845,500,3,690,30,50,11,0
69,1846,500,3,690,36,60,11,0
70,1847,500,3,690,40,60,11,0
71,1848,500,3,690,44,73,11,0
72,1849,500,6,909,13,18,13,0
73,1850,500,6,952,14,26,13,0
74,1851,500,6,952,29,39,13,0
75,1852,500,6,909,32,48,13,0
76,1853,500,6,952,32,43,13,0
77,1854,500,6,833,35,72,13,0
78,1855,500,6,909,58,78,13,0
79,1856,500,6,909,62,75,13,0
80,1857,650,6,909,68,102,13,0
81,1858,500,6,909,73,99,13,0
82,1859,500,6,909,74,124,13,0
83,1860,500,6,909,87,118,13,0
84,1861,500,6,909,96,144,13,0
85,1862,500,11,625,5,9,15,0
86,1863,500,11,625,7,13,15,0
87,1864,500,11,645,10,18,15,0
88,1865,500,11,606,12,22,15,0
89,1866,500,11,625,14,26,15,0
90,1867,500,11,625,17,32,15,0
91,1868,650,11,625,20,38,15,0
92,1869,500,11,667,26,48,15,0
93,1870,500,11,645,28,51,15,0
94,1871,1000,11,625,27,50,15,0
95,1872,500,11,625,30,56,15,0
96,1873,500,11,625,23,91,15,0
97,1874,500,11,625,37,68,15,0
98,1875,500,8,606,4,10,11,0
99,1876,500,8,588,4,16,11,0
100,1877,500,8,625,7,23,11,0
101,1878,500,8,645,10,26,11,0
102,1879,500,8,625,13,31,11,0
103,1880,500,8,588,11,38,11,0
104,1881,500,8,606,12,46,11,0
105,1882,500,8,645,16,49,11,0
106,1883,500,8,625,23,54,11,0
107,1884,500,8,588,25,52,11,0
108,1885,500,8,645,27,63,11,0
109,1886,500,8,625,23,68,11,0
110,1887,500,8,606,23,79,11,0
111,1888,1500,1,645,3,10,10,0
112,1889,1500,1,645,4,15,10,0
113,1890,1500,1,645,8,19,10,0
114,1891,1350,1,606,8,22,10,0
115,1892,1500,1,645,11,26,10,0
116,1893,1350,1,645,11,34,10,0
117,1894,1500,1,645,13,39,10,0
118,1895,1500,1,667,18,42,10,0
119,1896,1500,1,667,19,44,10,0
120,1897,1500,1,606,16,48,10,0
