"rownum","rid_0","i32_16","f32_20","i32_24","bool_28"
0,2395,320,21,1065562931,""
1,2396,400,27,1065562931,""
2,2400,400,27,1065562931,""
3,2402,320,21,1065562931,""
4,2403,400,27,1065562931,""
5,2404,320,21,1065562931,""
6,2405,400,27,1065562931,""
7,2406,320,21,1065562931,""
8,2397,320,21,1065562931,""
9,2408,400,27,1065562931,1
10,2409,400,27,1065562931,""
11,2410,400,27,1065562931,""
12,2411,400,27,1065562931,""
13,2412,400,27,1065562931,""
14,2413,400,27,1065562931,""
15,2414,290,19,1065562931,""
16,2415,290,19,1065562931,""
17,2416,290,19,1065562931,""
18,2417,290,19,1065562931,""
19,2418,290,19,1065562931,""
20,2419,290,19,1065562931,""
21,2420,280,19,1065562931,""
22,2421,280,19,1065562931,""
23,2422,280,19,1065562931,""
24,2423,280,19,1065562931,""
25,2424,280,19,1065562931,""
26,2425,280,19,1065562931,""
27,2426,280,19,1065562931,""
28,2427,280,19,1065562931,""
29,2428,280,19,1065562931,""
30,2429,280,19,1065562931,""
31,2430,280,19,1065562931,""
32,2431,280,19,1065562931,""
33,2432,290,19,1065562931,1
34,2433,290,19,1065562931,""
35,2434,290,19,1065562931,""
36,2435,290,19,1065562931,""
37,2436,290,19,1065562931,""
38,2437,1000,0,1065604874,""
39,2438,3000,0,1065604874,1
40,2439,2000,0,1065604874,""
41,2440,1600,0,1065604874,""
