"rownum","string_0","[rid]_8","[rid]_24","[rid]_40","rid_56","i32_72","[rid]_76","bool_92"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18395,18428]",[2236],"[18863,17891]","",0,[],""
1,"fully_broken_armour_consumed_for_support_damage",[18247],[2236],[18863],"",0,[],""
2,"fully_broken_armour_consumed_to_guarantee_crit",[18248],[2236],[340],"",0,[],""
3,"fully_broken_armour_generic",[20432],[2236],[],"",0,[],""
4,"fully_broken_armour_consumed_to_trigger_battershout_explosion",[21301],[2236],[],"",0,[],""
5,"freeze_consumed_generic",[18859],[2],[],"",0,[],""
6,"freeze_consumed_to_guarantee_crit",[18817],[2],[340],"",0,[],""
7,"freeze_consumed_for_active_skill_hit_damage",[18530],[2],[19331],"",0,[],""
8,"freeze_consumed_for_active_skill_hit_damage_from_support",[20708],[2],[20709],"",0,[],""
9,"shock_consumed_generic",[18864],"[3,2388]",[],"",0,[],""
10,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15790],"[3,2388]",[18865],15788,1045220557,[],""
11,"ignite_consumed_by_elemental_discharge",[18830],[0],[],"",0,[],""
12,"freeze_consumed_by_elemental_discharge",[18830],[2],[],"",0,[],""
13,"shock_consumed_by_elemental_discharge",[18830],[3],[],"",0,[],""
14,"dazed_consumed_for_guarantee_crit",[19785],[2434],[340],"",0,[19790],""
15,"dazed_consumed_for_stun_buildup",[19786],[2434],[19787],"",0,[19790],""
16,"dazed_consumed_for_guarantee_hit",[21261],[2434],[],"",0,[],1
17,"ignite_consumed_generic",[21203],[0],[],"",0,[],""
18,"bloodstained_consumed_generic",[21515],[2638],[],"",0,[],""
19,"parry_consumed_generic",[22283],[2634],[],"",0,[],""
20,"parry_consumed_to_gain_X_frenzy_charges",[21608],[2634],[],"",0,[],""
21,"maim_consumed_to_break_%_armour",[22487],[506],[22488],"",0,[22486],""
