"rownum","Monster","Spectre","[rid]_32"
0,6,"",[]
1,1149,1148,[]
2,1152,1151,[]
3,1154,1153,[]
4,1156,1155,[]
5,1158,1157,[]
6,1160,1159,[]
7,1378,1379,[]
8,760,761,[]
9,1385,1388,[]
10,1386,1388,[]
11,1387,1388,[]
12,337,334,[]
13,335,334,[]
14,336,334,[]
15,637,636,[]
16,389,390,[]
17,614,615,[]
18,584,583,[]
19,901,905,[]
20,902,905,[]
21,903,905,[]
22,904,905,[]
23,839,838,[]
24,763,762,[]
25,979,980,[]
26,1049,1050,[]
27,1014,1013,[]
28,923,924,[]
29,393,394,[]
30,621,622,[]
31,1573,1575,[]
32,1576,1578,[]
33,1555,1554,[]
34,721,295,[]
35,722,290,[]
36,723,298,[]
37,724,308,[]
38,725,309,[]
39,726,309,[]
40,774,772,[]
41,391,392,[]
42,582,580,[]
43,616,617,[]
44,641,643,[]
45,642,643,[]
46,685,689,[]
47,686,690,[]
48,687,689,[]
49,688,690,[]
50,746,747,[]
51,748,749,[]
52,670,671,[]
53,672,673,[]
54,223,224,[]
55,228,224,[]
56,229,224,[]
57,225,226,[]
58,227,226,[]
59,916,917,[]
60,921,922,[]
