"rownum","rid","[rid]","bool","i32","i32"
0,19118,"[3487,5118,5281,6173,7356]","",0,0
1,19119,"[5278,5275,5269,5272]","",0,0
2,19121,"[6164,6166,6168,6171]","",0,0
3,19122,"[5029,5025,5032,5020]","",0,0
4,19123,"[7343,7346,7349,7352]","",0,0
5,19124,"[7979,8004,8027,8056]","",0,0
6,19153,[8415],1,0,0
7,19154,[8419],1,0,0
8,19155,[8423],1,0,0
9,19157,[6801],"",0,0
10,19178,"[2588,2593,2598,2601,2604,2609,2612,2614,2617,2619,2621,2626,2628,2630,2632,2635,2639,2642,2644,2649,2651,2653,2657,2660,2662,2664,2666,2671,2674,2678,2680,2683,2687,2689]",1,16777216,0
11,19268,[3176],1,0,0
12,19349,[5694],1,0,0
