"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15471]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15471,15661]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15656]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15656,15661]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15657]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15657,15661]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15658]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15658,15661]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15659]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15659,15661]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15660]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15660,15661]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15460]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15460,15461]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15460]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15460]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15460]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15460]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15462]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15462,15461]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15462]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15462]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15462]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15462]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15463]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15463,15461]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15463]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15463]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15463]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15463]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15464]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15464,15461]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15464]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15464]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15464]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15464]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15465]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15465,15461]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15465]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15465]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15465]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15465]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15468,15466]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15468,15466,15461]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15468,15466]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15468,15466]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15468,15466]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15468,15466]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15469,15467]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15469,15467,15461]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15469,15467]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15469,15467]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15469,15467]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15469,15467]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15470,15460]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15470,15468]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15460,15461,20359]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15460,15461,20359]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15460,15461,20359]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15460,15461,20359]"
