"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20259,0,11,100,1,6,1,1
1,20260,0,50,100,3,6,1,1
2,20311,0,11,100,1,6,1,1
3,20315,0,11,100,1,6,1,1
4,20316,0,11,100,1,6,1,1
5,20317,0,11,100,1,6,1,1
6,20318,0,11,100,1,6,1,1
7,20323,0,11,100,1,6,1,1
8,20326,150,11,100,1,3,1,1
9,20327,150,25,100,4,5,1,1
10,20328,75,68,100,6,7,1,1
11,20329,150,11,100,1,3,1,1
12,20330,150,25,100,4,5,1,1
13,20331,75,68,100,6,7,1,1
14,20332,150,11,100,1,3,1,1
15,20333,150,25,100,4,5,1,1
16,20334,75,68,100,6,7,1,1
17,20325,75,68,100,3,6,1,1
18,20335,150,40,100,1,3,1,1
19,20336,75,68,100,4,5,1,1
20,20324,37,68,100,6,7,1,1
21,20313,0,11,100,1,3,1,1
22,20337,0,25,100,4,5,1,1
23,20338,0,68,100,6,7,1,1
24,20339,0,68,100,6,7,1,1
25,20319,0,11,100,1,3,1,1
26,20340,0,25,100,4,5,1,1
27,20341,0,68,100,6,7,1,1
28,20314,150,11,100,1,3,1,1
29,20342,75,40,100,4,5,1,1
30,20343,37,68,100,6,7,1,1
31,20320,150,11,100,1,6,1,1
32,20321,75,68,100,4,7,1,1
33,20344,150,68,100,3,7,1,1
